customer_id,avg_monthly_credits,salary_consistency,cash_withdrawal_ratio,monthly_transaction_count
CUS100059,67300,0.844,0.142,25
CUS100060,180300,0.951,0.103,13
CUS100061,112500,0.952,0.141,24
CUS100062,112300,1.0,0.233,17
CUS100063,86500,0.806,0.114,20
CUS100064,81200,0.783,0.143,20
CUS100065,104200,0.958,0.216,15
CUS100066,106500,0.953,0.138,20
CUS100067,108000,0.785,0.074,21
CUS100068,75900,1.0,0.09,22
CUS100069,124100,0.897,0.186,17
CUS100070,34400,0.741,0.323,15
CUS100071,128100,0.841,0.229,18
CUS100072,67000,0.848,0.042,13
CUS100073,110900,0.939,0.226,18
CUS100074,70100,0.77,0.109,24
CUS100075,44400,0.854,0.468,18
CUS100076,107000,0.945,0.14,23
CUS100077,43000,0.865,0.07,17
CUS100078,64900,0.944,0.114,21
CUS100079,59400,1.0,0.213,22
CUS100080,69900,0.772,0.004,20
CUS100081,134700,0.813,0.233,17
CUS100082,70900,0.948,0.229,16
CUS100083,96000,0.964,0.127,17
CUS100084,111900,0.837,0.065,15
CUS100085,78600,0.839,0.053,20
CUS100086,69700,0.955,0.105,16
CUS100087,176700,0.962,0.054,17
CUS100088,75800,0.891,0.032,16
CUS100089,99000,0.813,0.099,22
CUS100090,112400,1.0,0.027,25
CUS100091,43900,0.934,0.013,15
CUS100092,60900,0.877,0.037,11
CUS100093,124200,0.737,0.111,18
CUS100094,34100,0.814,0.105,16
CUS100095,81200,0.985,0.067,23
CUS100096,65000,0.917,0.036,21
CUS100097,145500,0.858,0.16,23
CUS100098,87700,0.882,0.103,20
CUS100099,165200,1.0,0.005,16
CUS100100,79300,1.0,0.065,16
CUS100101,76500,0.932,0.137,12
CUS100102,70500,0.936,0.16,21
CUS100103,70300,0.892,0.031,22
CUS100104,293200,0.829,0.181,22
CUS100105,145800,0.919,0.259,23
CUS100106,51200,0.924,0.046,17
CUS100107,247700,0.905,0.045,15
CUS100108,74500,0.788,0.044,16
CUS100109,99700,0.835,0.272,12
CUS100110,138500,1.0,0.166,15
CUS100111,42300,0.904,0.106,14
CUS100112,62400,0.851,0.134,22
CUS100113,168100,0.843,0.234,19
CUS100114,79800,0.9,0.117,13
CUS100115,127300,0.917,0.085,26
CUS100116,77700,0.934,0.36,16
CUS100117,89200,0.895,0.052,22
CUS100118,189900,0.844,0.046,12
CUS100119,104300,0.93,0.254,14
CUS100120,78300,0.864,0.076,25
CUS100121,62700,0.845,0.037,18
CUS100122,66700,0.795,0.043,17
CUS100123,140900,0.999,0.085,30
CUS100124,118100,0.986,0.022,17
CUS100125,47900,0.931,0.142,19
CUS100126,85500,1.0,0.101,21
CUS100127,81100,0.896,0.138,17
CUS100128,103300,0.8,0.148,27
CUS100129,64800,0.806,0.093,22
CUS100130,140900,1.0,0.132,22
CUS100131,87300,0.952,0.036,15
CUS100132,94800,0.986,0.078,19
CUS100133,53800,0.977,0.035,16
CUS100134,53500,0.874,0.046,17
CUS100135,231900,0.849,0.066,20
CUS100136,205600,0.798,0.142,25
CUS100137,86300,0.93,0.098,31
CUS100138,191000,0.869,0.021,18
CUS100139,154000,0.806,0.147,23
CUS100140,72900,1.0,0.081,19
CUS100141,54300,1.0,0.052,19
CUS100142,113400,0.914,0.047,24
CUS100143,97800,0.999,0.036,18
CUS100144,82100,1.0,0.269,23
CUS100145,121600,1.0,0.02,18
CUS100146,44800,0.916,0.116,20
CUS100147,84800,0.84,0.026,22
CUS100148,53200,0.886,0.15,15
CUS100149,49800,0.836,0.113,20
CUS100150,64400,0.956,0.23,23
CUS100151,89900,0.959,0.179,19
CUS100152,66200,0.792,0.032,24
CUS100153,48700,0.98,0.097,21
CUS100154,102400,0.868,0.336,13
CUS100155,182600,1.0,0.2,14
CUS100156,117300,0.809,0.165,14
CUS100157,192600,1.0,0.028,15
CUS100158,177800,0.911,0.388,23
CUS100159,68900,0.894,0.086,11
CUS100160,106500,1.0,0.124,18
CUS100161,73300,1.0,0.178,16
CUS100162,154200,1.0,0.086,16
CUS100163,80100,1.0,0.163,28
CUS100164,64300,0.95,0.075,21
CUS100165,158000,1.0,0.14,19
CUS100166,101800,0.926,0.168,20
CUS100167,69300,0.887,0.132,20
CUS100168,73900,1.0,0.124,11
CUS100169,68300,0.874,0.089,24
CUS100170,51400,0.987,0.109,18
CUS100171,67600,0.96,0.074,19
CUS100172,102000,0.766,0.067,19
CUS100173,91100,1.0,0.05,22
CUS100174,69900,0.964,0.041,19
CUS100175,161700,0.853,0.166,23
CUS100176,36000,0.868,0.026,15
CUS100177,104100,1.0,0.021,12
CUS100178,73200,0.954,0.099,18
CUS100179,56800,0.985,0.312,16
CUS100180,100600,0.899,0.192,15
CUS100181,78200,0.919,0.018,9
CUS100182,144600,0.947,0.008,17
CUS100183,120300,0.915,0.066,24
CUS100184,234100,0.813,0.013,16
CUS100185,70300,0.822,0.063,21
CUS100186,145000,0.96,0.168,25
CUS100187,54300,0.983,0.244,18
CUS100188,89000,0.833,0.23,19
CUS100189,86900,0.965,0.031,17
CUS100190,107700,0.933,0.054,13
CUS100191,109100,0.915,0.124,24
CUS100192,57300,0.889,0.184,14
CUS100193,127700,1.0,0.007,11
CUS100194,69500,0.831,0.125,18
CUS100195,69900,0.978,0.044,20
CUS100196,75300,0.93,0.206,18
CUS100197,47400,0.832,0.007,24
CUS100198,134500,0.929,0.052,17
CUS100199,78700,0.819,0.201,16
CUS100200,83800,0.981,0.181,28
CUS100201,97100,1.0,0.069,13
CUS100202,176100,0.965,0.088,17
CUS100203,171100,0.941,0.073,16
CUS100204,155900,0.906,0.126,17
CUS100205,81100,1.0,0.155,18
CUS100206,48300,0.979,0.179,18
CUS100207,91400,0.909,0.129,20
CUS100208,85300,0.945,0.013,12
CUS100209,134200,0.943,0.127,23
CUS100210,96500,0.977,0.043,20
CUS100211,54100,0.923,0.035,16
CUS100212,63500,0.952,0.104,13
CUS100213,64000,0.825,0.166,20
CUS100214,112400,1.0,0.029,10
CUS100215,105000,0.826,0.208,16
CUS100216,109500,0.984,0.203,12
CUS100217,114900,1.0,0.088,26
CUS100218,36700,0.893,0.027,22
CUS100219,40200,0.9,0.228,15
CUS100220,76600,0.95,0.15,22
CUS100221,101300,0.944,0.056,19
CUS100222,162100,0.986,0.034,14
CUS100223,86700,0.829,0.017,21
CUS100224,54300,0.839,0.361,20
CUS100225,108000,0.887,0.111,18
CUS100226,86400,0.951,0.081,13
CUS100227,69600,0.896,0.314,24
CUS100228,38700,0.923,0.05,16
CUS100229,92500,0.798,0.332,21
CUS100230,110300,0.936,0.064,19
CUS100231,54600,0.911,0.103,19
CUS100232,123600,0.987,0.095,19
CUS100233,109800,1.0,0.153,17
CUS100234,101200,0.932,0.099,20
CUS100235,80500,0.898,0.32,10
CUS100236,107200,0.872,0.102,18
CUS100237,105500,0.814,0.057,19
CUS100238,60500,0.962,0.023,19
CUS100239,81700,0.933,0.208,27
CUS100240,106600,1.0,0.082,18
CUS100241,33400,0.908,0.051,11
CUS100242,50000,0.951,0.149,23
CUS100243,123700,1.0,0.234,13
CUS100244,150800,0.95,0.133,19
CUS100245,121100,0.781,0.202,19
CUS100246,130700,0.922,0.298,25
CUS100247,102200,1.0,0.229,21
CUS100248,50600,1.0,0.16,17
CUS100249,84300,0.837,0.003,18
CUS100250,35800,0.89,0.112,21
CUS100251,160500,0.757,0.067,21
CUS100252,60000,0.895,0.043,15
CUS100253,71300,0.929,0.141,17
CUS100254,138300,0.913,0.141,13
CUS100255,39800,0.964,0.043,17
CUS100256,46700,0.887,0.03,11
CUS100257,92600,1.0,0.217,18
CUS100258,109600,0.761,0.091,17
CUS100259,74000,1.0,0.017,20
CUS100260,90500,0.961,0.041,13
CUS100261,163700,0.941,0.074,19
CUS100262,124400,0.913,0.013,21
CUS100263,103000,0.792,0.294,21
CUS100264,118900,0.769,0.211,14
CUS100265,80900,1.0,0.02,17
CUS100266,253700,0.906,0.185,16
CUS100267,31800,0.865,0.03,32
CUS100268,172400,0.903,0.008,26
CUS100269,135500,0.973,0.316,16
CUS100270,107100,0.998,0.011,20
CUS100271,93300,0.916,0.156,10
CUS100272,89400,0.885,0.052,21
CUS100273,126100,0.875,0.118,22
CUS100274,90500,0.826,0.429,12
CUS100275,58400,0.82,0.193,18
CUS100276,132900,0.915,0.046,17
CUS100277,167900,0.823,0.031,21
CUS100278,32300,1.0,0.058,13
CUS100279,248200,0.901,0.397,19
CUS100280,57400,0.783,0.314,20
CUS100281,55800,0.92,0.16,25
CUS100282,52600,0.911,0.092,12
CUS100283,84400,0.941,0.077,17
CUS100284,51300,1.0,0.142,14
CUS100285,48100,1.0,0.069,16
CUS100286,65500,0.86,0.121,19
CUS100287,79000,0.923,0.197,18
CUS100288,97300,1.0,0.069,25
CUS100289,158900,0.986,0.051,17
CUS100290,135100,0.888,0.023,17
CUS100291,139000,0.969,0.161,16
CUS100292,75200,0.829,0.054,10
CUS100293,37700,0.954,0.006,17
CUS100294,35800,0.948,0.084,20
CUS100295,152300,0.988,0.132,12
CUS100296,117100,1.0,0.222,15
CUS100297,63800,1.0,0.179,9
CUS100298,44700,0.974,0.095,19
CUS100299,48500,0.999,0.033,18
CUS100300,86400,0.95,0.219,17
CUS100301,110800,0.964,0.063,25
CUS100302,132100,1.0,0.142,25
CUS100303,75500,0.828,0.109,31
CUS100304,68300,0.847,0.025,20
CUS100305,146500,0.843,0.183,14
CUS100306,33100,0.933,0.017,27
CUS100307,89500,1.0,0.219,21
CUS100308,78700,0.89,0.27,16
CUS100309,120000,0.859,0.266,25
CUS100310,110100,0.964,0.086,29
CUS100311,53500,0.801,0.06,14
CUS100312,77600,0.901,0.074,19
CUS100313,24800,0.916,0.009,22
CUS100314,133400,0.928,0.066,15
CUS100315,102100,0.966,0.141,12
CUS100316,154400,0.98,0.336,19
CUS100317,67400,0.944,0.157,8
CUS100318,122300,0.965,0.218,14
CUS100319,52600,1.0,0.108,21
CUS100320,23100,0.882,0.098,18
CUS100321,88400,0.889,0.139,17
CUS100322,62600,1.0,0.223,13
CUS100323,57200,0.908,0.104,12
CUS100324,162000,0.967,0.22,22
CUS100325,155200,0.842,0.179,26
CUS100326,97300,0.874,0.043,18
CUS100327,78100,0.956,0.061,21
CUS100328,82100,0.959,0.159,20
CUS100329,65100,0.88,0.16,20
CUS100330,99500,1.0,0.023,17
CUS100331,44200,0.975,0.21,17
CUS100332,55800,0.915,0.187,13
CUS100333,53300,0.956,0.08,22
CUS100334,93900,0.745,0.192,16
CUS100335,72500,0.898,0.157,16
CUS100336,152000,0.942,0.119,13
CUS100337,116700,1.0,0.359,17
CUS100338,63400,0.852,0.113,24
CUS100339,107300,0.859,0.148,23
CUS100340,67800,0.871,0.061,19
CUS100341,96500,0.827,0.03,19
CUS100342,128000,1.0,0.325,19
CUS100343,150400,0.853,0.013,20
CUS100344,79400,0.957,0.112,18
CUS100345,190200,0.932,0.004,19
CUS100346,94000,0.878,0.096,20
CUS100347,96500,1.0,0.085,19
CUS100348,78600,0.943,0.068,14
CUS100349,69000,1.0,0.125,17
CUS100350,107600,0.972,0.149,18
CUS100351,86300,0.878,0.067,20
CUS100352,99900,0.959,0.112,16
CUS100353,104800,0.892,0.014,21
CUS100354,96600,1.0,0.029,17
CUS100355,239900,1.0,0.05,21
CUS100356,79700,0.908,0.061,15
CUS100357,102700,0.832,0.31,15
CUS100358,78000,0.932,0.012,13
CUS100359,28200,0.958,0.125,18
CUS100360,87100,1.0,0.112,11
CUS100361,61000,0.95,0.034,14
CUS100362,75900,0.925,0.264,20
CUS100363,83800,0.904,0.164,19
CUS100364,100200,0.977,0.05,13
CUS100365,64800,0.806,0.292,14
CUS100366,64700,0.916,0.179,15
CUS100367,132100,0.926,0.083,23
CUS100368,57600,0.8,0.096,21
CUS100369,35700,0.99,0.008,20
CUS100370,96900,0.97,0.239,15
CUS100371,129600,1.0,0.252,22
CUS100372,98800,1.0,0.148,11
CUS100373,97400,0.827,0.106,18
CUS100374,131400,0.95,0.097,13
CUS100375,124500,0.867,0.047,16
CUS100376,75800,1.0,0.108,17
CUS100377,94600,0.857,0.023,19
CUS100378,95000,0.981,0.048,21
CUS100379,77900,0.999,0.136,22
CUS100380,151300,0.98,0.166,20
CUS100381,87400,0.746,0.162,17
CUS100382,75800,1.0,0.064,18
CUS100383,29800,0.96,0.147,23
CUS100384,55200,0.92,0.203,17
CUS100385,47500,0.989,0.144,17
CUS100386,84100,0.942,0.12,23
CUS100387,47500,0.803,0.097,9
CUS100388,113300,0.888,0.083,23
CUS100389,153500,0.983,0.112,16
CUS100390,80800,1.0,0.028,26
CUS100391,48400,0.933,0.051,17
CUS100392,94600,0.961,0.121,26
CUS100393,197100,0.864,0.123,13
CUS100394,186100,0.891,0.088,20
CUS100395,45900,0.846,0.055,18
CUS100396,44300,0.92,0.081,16
CUS100397,37100,0.847,0.246,21
CUS100398,50300,0.889,0.239,17
CUS100399,98500,0.86,0.323,17
CUS100400,62600,0.946,0.084,15
CUS100401,62700,0.838,0.466,13
CUS100402,151600,0.817,0.207,14
CUS100403,102500,0.95,0.048,10
CUS100404,39000,0.888,0.073,14
CUS100405,145500,0.89,0.06,13
CUS100406,108400,0.816,0.252,22
CUS100407,106100,0.882,0.032,19
CUS100408,66200,0.769,0.06,21
CUS100409,75800,0.817,0.002,17
CUS100410,34000,0.839,0.109,20
CUS100411,133100,0.836,0.063,27
CUS100412,60300,0.962,0.032,13
CUS100413,50300,1.0,0.077,21
CUS100414,59900,0.929,0.169,21
CUS100415,206500,0.836,0.09,26
CUS100416,64500,0.88,0.304,9
CUS100417,135200,0.858,0.276,18
CUS100418,79700,0.938,0.016,20
CUS100419,56800,0.806,0.263,19
CUS100420,49400,0.996,0.307,14
CUS100421,58700,0.803,0.095,23
CUS100422,87700,0.847,0.22,18
CUS100423,115700,0.889,0.041,25
CUS100424,65300,1.0,0.232,24
CUS100425,68400,0.926,0.039,16
CUS100426,61800,0.903,0.189,12
CUS100427,55900,0.982,0.25,12
CUS100428,42800,0.862,0.225,22
CUS100429,135800,0.841,0.084,12
CUS100430,69000,0.877,0.035,22
CUS100431,74100,0.99,0.267,24
CUS100432,60800,0.935,0.246,13
CUS100433,76000,0.907,0.076,17
CUS100434,110000,1.0,0.303,18
CUS100435,69900,1.0,0.217,23
CUS100436,94200,0.843,0.097,17
CUS100437,155400,0.951,0.1,16
CUS100438,60000,0.882,0.036,16
CUS100439,67200,0.997,0.225,12
CUS100440,114000,1.0,0.425,28
CUS100441,162600,1.0,0.067,30
CUS100442,48300,0.947,0.407,23
CUS100443,47100,0.935,0.149,21
CUS100444,88200,0.88,0.216,22
CUS100445,72900,0.827,0.172,16
CUS100446,124200,0.777,0.034,18
CUS100447,106000,0.953,0.096,22
CUS100448,73600,1.0,0.116,22
CUS100449,155400,0.994,0.027,19
CUS100450,64900,0.922,0.372,14
CUS100451,81900,0.899,0.419,21
CUS100452,49800,0.844,0.148,22
CUS100453,71500,0.945,0.135,14
CUS100454,46800,0.893,0.136,14
CUS100455,48000,0.878,0.104,19
CUS100456,180000,0.95,0.163,19
CUS100457,40300,0.838,0.089,17
CUS100458,81900,0.946,0.259,21
CUS100459,134400,0.876,0.169,12
CUS100460,211400,0.784,0.069,15
CUS100461,89000,0.85,0.019,11
CUS100462,92800,0.849,0.056,14
CUS100463,94400,0.898,0.269,12
CUS100464,156000,0.826,0.126,21
CUS100465,120700,0.861,0.129,16
CUS100466,64500,0.918,0.057,18
CUS100467,155500,1.0,0.07,15
CUS100468,64200,0.93,0.243,22
CUS100469,42700,0.896,0.067,19
CUS100470,37600,0.961,0.224,22
CUS100471,75500,0.93,0.579,25
CUS100472,102200,0.805,0.089,17
CUS100473,121700,0.826,0.025,28
CUS100474,122000,0.916,0.187,27
CUS100475,92400,0.875,0.142,24
CUS100476,155300,0.849,0.033,20
CUS100477,68100,1.0,0.1,21
CUS100478,42400,1.0,0.053,20
CUS100479,48200,0.916,0.097,26
CUS100480,153200,1.0,0.165,16
CUS100481,35000,0.965,0.08,20
CUS100482,77300,0.939,0.215,12
CUS100483,301800,1.0,0.107,25
CUS100484,115200,1.0,0.082,16
CUS100485,87200,0.934,0.151,15
CUS100486,44700,0.97,0.255,18
CUS100487,194600,0.997,0.195,17
CUS100488,149300,0.956,0.109,15
CUS100489,114900,0.849,0.021,19
CUS100490,86600,1.0,0.168,23
CUS100491,124500,0.9,0.068,23
CUS100492,72700,0.738,0.101,22
CUS100493,55900,1.0,0.098,15
CUS100494,129900,0.856,0.191,14
CUS100495,75300,1.0,0.379,18
CUS100496,106800,0.993,0.023,23
CUS100497,73400,0.826,0.068,23
CUS100498,106200,0.869,0.059,18
CUS100499,87200,0.955,0.08,13
CUS100500,83900,0.91,0.026,18
CUS100501,100300,0.901,0.08,20
CUS100502,341300,0.967,0.053,22
CUS100503,125700,0.953,0.097,18
CUS100504,270200,0.833,0.213,25
CUS100505,80900,0.905,0.059,17
CUS100506,76700,0.849,0.072,11
CUS100507,51000,0.905,0.239,12
CUS100508,184100,0.943,0.384,14
CUS100509,61100,0.879,0.055,17
CUS100510,181500,0.991,0.158,15
CUS100511,56600,0.917,0.1,26
CUS100512,127800,0.98,0.036,16
CUS100513,43800,0.983,0.244,23
CUS100514,69200,0.897,0.042,21
CUS100515,90300,1.0,0.277,18
CUS100516,66500,0.864,0.316,18
CUS100517,71500,0.872,0.088,24
CUS100518,78000,0.917,0.079,14
CUS100519,126800,1.0,0.227,14
CUS100520,38000,0.929,0.225,20
CUS100521,72100,0.902,0.206,23
CUS100522,164700,0.873,0.015,11
CUS100523,134700,0.904,0.097,21
CUS100524,135800,0.91,0.364,22
CUS100525,120800,0.837,0.293,25
CUS100526,47800,0.842,0.039,19
CUS100527,136300,0.976,0.405,14
CUS100528,87300,1.0,0.129,15
CUS100529,205100,0.948,0.04,25
CUS100530,142200,0.853,0.052,19
CUS100531,106200,0.859,0.074,25
CUS100532,112300,0.888,0.167,15
CUS100533,113800,0.958,0.036,15
CUS100534,109500,0.81,0.27,16
CUS100535,66500,0.937,0.183,13
CUS100536,108900,0.904,0.12,22
CUS100537,137000,0.855,0.02,18
CUS100538,134400,1.0,0.103,22
CUS100539,148900,0.954,0.288,14
CUS100540,185000,0.964,0.192,12
CUS100541,160500,0.918,0.16,13
CUS100542,89700,0.923,0.137,21
CUS100543,43600,0.876,0.04,13
CUS100544,57300,0.951,0.118,17
CUS100545,66100,0.977,0.03,18
CUS100546,78800,0.889,0.287,18
CUS100547,174600,0.881,0.115,20
CUS100548,31600,0.992,0.313,16
CUS100549,60200,0.832,0.045,21
CUS100550,62200,0.977,0.136,15
CUS100551,54100,0.942,0.176,23
CUS100552,55400,0.973,0.077,10
CUS100553,78500,0.949,0.067,13
CUS100554,62900,0.87,0.094,13
CUS100555,60100,0.944,0.169,13
CUS100556,180900,1.0,0.134,18
CUS100557,115300,0.853,0.194,20
CUS100558,135600,0.815,0.327,18
CUS100559,77500,0.94,0.408,23
CUS100560,127800,1.0,0.182,24
CUS100561,132700,0.839,0.087,11
CUS100562,122600,0.896,0.095,19
CUS100563,59900,0.936,0.224,17
CUS100564,67600,0.87,0.105,15
CUS100565,129500,1.0,0.088,18
CUS100566,68500,0.87,0.086,13
CUS100567,48600,1.0,0.041,23
CUS100568,65300,0.902,0.392,27
CUS100569,171100,0.989,0.086,20
CUS100570,60400,0.862,0.272,21
CUS100571,112200,0.922,0.24,23
CUS100572,57100,0.775,0.029,23
CUS100573,112600,0.962,0.303,19
CUS100574,103600,1.0,0.068,14
CUS100575,42800,0.935,0.253,20
CUS100576,98900,0.81,0.116,19
CUS100577,42000,0.831,0.074,9
CUS100578,62200,0.846,0.154,17
CUS100579,86900,0.965,0.199,18
CUS100580,178700,0.951,0.193,24
CUS100581,97400,0.942,0.19,14
CUS100582,64400,0.977,0.074,19
CUS100583,76200,0.915,0.014,11
CUS100584,126200,0.977,0.053,19
CUS100585,58800,1.0,0.111,14
CUS100586,155300,1.0,0.274,20
CUS100587,65300,0.845,0.104,23
CUS100588,51900,1.0,0.427,20
CUS100589,70700,0.948,0.087,15
CUS100590,43300,0.846,0.275,19
CUS100591,36400,0.863,0.319,23
CUS100592,90500,0.804,0.043,17
CUS100593,96200,0.894,0.304,14
CUS100594,96900,0.919,0.119,24
CUS100595,89300,0.909,0.104,18
CUS100596,287900,0.948,0.022,18
CUS100597,96500,0.958,0.127,21
CUS100598,45300,0.971,0.323,18
CUS100599,48700,0.909,0.057,20
CUS100600,89200,0.972,0.131,10
CUS100601,77600,0.843,0.155,13
CUS100602,48200,0.961,0.096,21
CUS100603,81200,0.874,0.481,18
CUS100604,83500,0.979,0.195,15
CUS100605,180400,0.945,0.13,26
CUS100606,49900,0.948,0.048,20
CUS100607,67500,0.863,0.05,19
CUS100608,181600,1.0,0.254,17
CUS100609,109600,0.89,0.068,19
CUS100610,65400,0.997,0.13,17
CUS100611,61500,0.862,0.12,18
CUS100612,45500,1.0,0.171,17
CUS100613,83400,0.962,0.148,20
CUS100614,129500,0.927,0.045,22
CUS100615,186000,0.928,0.105,14
CUS100616,46800,0.884,0.076,18
CUS100617,122400,0.965,0.142,16
CUS100618,92300,0.912,0.066,22
CUS100619,83400,0.997,0.028,22
CUS100620,66500,0.786,0.031,21
CUS100621,36800,1.0,0.057,15
CUS100622,101700,0.747,0.101,23
CUS100623,45800,1.0,0.038,23
CUS100624,58100,0.876,0.232,11
CUS100625,90900,0.857,0.108,13
CUS100626,39100,0.714,0.148,16
CUS100627,51700,0.901,0.113,11
CUS100628,166200,0.989,0.061,22
CUS100629,89400,0.914,0.124,22
CUS100630,64600,0.917,0.065,21
CUS100631,99900,0.828,0.171,20
CUS100632,115700,0.875,0.179,25
CUS100633,146600,0.922,0.281,17
CUS100634,56000,0.925,0.044,17
CUS100635,47000,1.0,0.088,16
CUS100636,124800,0.962,0.115,11
CUS100637,130700,0.939,0.048,27
CUS100638,48200,0.961,0.123,16
CUS100639,62800,0.95,0.23,13
CUS100640,71900,1.0,0.175,18
CUS100641,94700,0.85,0.225,24
CUS100642,93500,0.891,0.052,17
CUS100643,45900,0.928,0.097,11
CUS100644,92200,0.973,0.025,23
CUS100645,64000,0.832,0.141,17
CUS100646,45200,1.0,0.217,17
CUS100647,90600,0.996,0.044,18
CUS100648,77800,0.9,0.279,27
CUS100649,122700,0.941,0.266,22
CUS100650,54100,1.0,0.037,19
CUS100651,82200,0.834,0.119,25
CUS100652,42100,0.881,0.182,19
CUS100653,73700,0.972,0.284,20
CUS100654,104000,0.842,0.082,22
CUS100655,110800,0.882,0.134,16
CUS100656,99700,0.848,0.145,17
CUS100657,122300,0.964,0.08,16
CUS100658,73000,0.858,0.11,28
CUS100659,102800,0.839,0.216,12
CUS100660,197900,0.784,0.123,22
CUS100661,72400,0.797,0.118,16
CUS100662,174900,0.96,0.204,18
CUS100663,129700,0.978,0.015,18
CUS100664,69400,0.874,0.013,26
CUS100665,85500,0.75,0.138,9
CUS100666,92000,0.831,0.166,18
CUS100667,112100,0.871,0.165,19
CUS100668,112800,1.0,0.097,18
CUS100669,67700,0.912,0.194,14
CUS100670,33700,1.0,0.035,17
CUS100671,116200,0.818,0.016,20
CUS100672,32600,0.937,0.046,17
CUS100673,47400,0.949,0.016,16
CUS100674,73900,0.946,0.134,24
CUS100675,48300,1.0,0.144,13
CUS100676,102800,0.97,0.238,18
CUS100677,74800,0.988,0.138,13
CUS100678,129700,0.916,0.25,30
CUS100679,43700,0.955,0.081,20
CUS100680,59600,1.0,0.056,17
CUS100681,93000,0.904,0.136,14
CUS100682,95200,0.9,0.04,24
CUS100683,134800,0.894,0.365,23
CUS100684,52900,0.996,0.067,16
CUS100685,69800,0.948,0.167,17
CUS100686,105100,0.816,0.101,21
CUS100687,30800,0.893,0.041,18
CUS100688,104200,0.856,0.097,13
CUS100689,112900,1.0,0.125,18
CUS100690,46000,0.89,0.242,18
CUS100691,75900,1.0,0.06,17
CUS100692,187400,0.929,0.109,9
CUS100693,121300,0.879,0.041,16
CUS100694,99300,0.891,0.024,17
CUS100695,134100,0.762,0.221,16
CUS100696,193800,0.901,0.355,20
CUS100697,101700,0.918,0.051,17
CUS100698,76300,0.923,0.175,12
CUS100699,127800,0.97,0.025,13
CUS100700,75400,0.827,0.332,15
CUS100701,51800,0.973,0.056,25
CUS100702,62000,0.825,0.131,22
CUS100703,104400,0.945,0.327,20
CUS100704,79800,0.845,0.054,14
CUS100705,79100,1.0,0.04,17
CUS100706,54300,0.788,0.046,18
CUS100707,151100,0.788,0.27,16
CUS100708,65400,0.962,0.244,22
CUS100709,65300,0.975,0.06,20
CUS100710,65000,0.895,0.236,17
CUS100711,119600,0.997,0.04,18
CUS100712,122700,0.948,0.039,12
CUS100713,69500,1.0,0.036,22
CUS100714,94600,0.741,0.226,14
CUS100715,97000,0.831,0.214,21
CUS100716,60700,0.844,0.072,18
CUS100717,44900,0.793,0.136,27
CUS100718,101300,0.841,0.039,17
CUS100719,63500,1.0,0.048,12
CUS100720,95700,0.906,0.038,16
CUS100721,88100,0.903,0.2,18
CUS100722,89900,0.83,0.077,14
CUS100723,82200,0.807,0.152,16
CUS100724,70100,0.802,0.027,20
CUS100725,58000,0.843,0.045,14
CUS100726,78600,0.828,0.099,19
CUS100727,102300,0.987,0.12,14
CUS100728,167800,0.91,0.097,12
CUS100729,146700,0.953,0.019,20
CUS100730,96700,0.977,0.167,15
CUS100731,155700,0.832,0.025,19
