application_id,customer_id,requested_amount,tenure_months,purpose,submitted_at,channel
APP200063,CUS100063,340000,36,OTHER,2026-09-25 03:34:00,WEB
APP200064,CUS100064,587000,24,HOME_RENOVATION,2026-04-17 20:08:00,WEB
APP200065,CUS100065,622000,48,EDUCATION,2026-05-12 04:24:00,WEB
APP200066,CUS100066,732000,48,HOME_RENOVATION,2026-09-04 02:18:00,MOBILE
APP200067,CUS100067,877000,48,DEBT_CONSOLIDATION,2026-02-28 03:45:00,WEB
APP200068,CUS100068,240000,36,OTHER,2026-02-01 02:42:00,WEB
APP200069,CUS100069,606000,12,MEDICAL,2026-04-02 16:47:00,MOBILE
APP200070,CUS100070,166000,24,TRAVEL,2026-11-27 15:03:00,MOBILE
APP200071,CUS100071,807000,24,EDUCATION,2026-06-16 05:51:00,MOBILE
APP200072,CUS100072,513000,24,TRAVEL,2026-08-25 01:29:00,WEB
APP200073,CUS100073,649000,24,HOME_RENOVATION,2026-05-25 11:45:00,WEB
APP200074,CUS100074,450000,60,TRAVEL,2026-10-13 15:58:00,MOBILE
APP200075,CUS100075,347000,48,EDUCATION,2026-07-01 07:13:00,WEB
APP200076,CUS100076,588000,60,OTHER,2026-05-27 02:54:00,MOBILE
APP200077,CUS100077,262000,24,TRAVEL,2026-02-02 23:17:00,WEB
APP200078,CUS100078,525000,48,DEBT_CONSOLIDATION,2026-05-29 22:21:00,MOBILE
APP200079,CUS100079,377000,36,DEBT_CONSOLIDATION,2026-10-15 22:54:00,MOBILE
APP200080,CUS100080,514000,36,MEDICAL,2026-09-25 09:47:00,WEB
APP200081,CUS100081,358000,24,EDUCATION,2026-10-21 17:09:00,WEB
APP200082,CUS100082,506000,36,OTHER,2026-03-24 04:31:00,MOBILE
APP200083,CUS100083,498000,36,TRAVEL,2026-12-19 12:45:00,MOBILE
APP200084,CUS100084,808000,36,DEBT_CONSOLIDATION,2026-09-06 16:00:00,MOBILE
APP200085,CUS100085,433000,48,TRAVEL,2026-09-26 08:35:00,WEB
APP200086,CUS100086,387000,24,OTHER,2026-01-12 23:58:00,MOBILE
APP200087,CUS100087,900000,36,DEBT_CONSOLIDATION,2026-03-09 09:07:00,WEB
APP200088,CUS100088,603000,48,DEBT_CONSOLIDATION,2026-08-08 07:40:00,MOBILE
APP200089,CUS100089,270000,48,MEDICAL,2026-04-08 21:11:00,MOBILE
APP200090,CUS100090,550000,12,TRAVEL,2026-09-14 17:47:00,MOBILE
APP200091,CUS100091,299000,12,EDUCATION,2026-10-03 23:49:00,MOBILE
APP200092,CUS100092,175000,48,HOME_RENOVATION,2026-03-18 05:48:00,WEB
APP200093,CUS100093,445000,36,MEDICAL,2026-05-12 17:27:00,WEB
APP200094,CUS100094,204000,24,EDUCATION,2026-12-03 02:45:00,WEB
APP200095,CUS100095,202000,36,EDUCATION,2026-12-04 01:00:00,MOBILE
APP200096,CUS100096,408000,12,OTHER,2026-12-28 13:32:00,MOBILE
APP200097,CUS100097,677000,60,EDUCATION,2026-11-24 04:01:00,MOBILE
APP200098,CUS100098,341000,24,EDUCATION,2026-01-17 18:12:00,WEB
APP200099,CUS100099,724000,18,HOME_RENOVATION,2026-09-23 14:50:00,MOBILE
APP200100,CUS100100,233000,12,DEBT_CONSOLIDATION,2026-05-22 02:35:00,WEB
APP200101,CUS100101,321000,12,MEDICAL,2026-07-25 08:19:00,WEB
APP200102,CUS100102,554000,48,DEBT_CONSOLIDATION,2026-08-28 02:20:00,MOBILE
APP200103,CUS100103,349000,36,HOME_RENOVATION,2026-07-28 07:04:00,MOBILE
APP200104,CUS100104,828000,12,HOME_RENOVATION,2026-03-04 02:08:00,WEB
APP200105,CUS100105,786000,36,HOME_RENOVATION,2026-02-10 02:54:00,MOBILE
APP200106,CUS100106,151000,48,TRAVEL,2026-03-17 21:37:00,MOBILE
APP200107,CUS100107,1313000,12,HOME_RENOVATION,2026-04-14 07:08:00,MOBILE
APP200108,CUS100108,500000,18,TRAVEL,2026-09-26 20:03:00,WEB
APP200109,CUS100109,260000,36,DEBT_CONSOLIDATION,2026-05-18 20:10:00,MOBILE
APP200110,CUS100110,939000,24,OTHER,2026-02-04 03:14:00,MOBILE
APP200111,CUS100111,182000,12,OTHER,2026-04-10 23:41:00,MOBILE
APP200112,CUS100112,160000,48,EDUCATION,2026-01-09 02:05:00,MOBILE
APP200113,CUS100113,917000,36,OTHER,2026-11-03 19:15:00,MOBILE
APP200114,CUS100114,481000,36,DEBT_CONSOLIDATION,2026-11-05 06:47:00,MOBILE
APP200115,CUS100115,516000,36,HOME_RENOVATION,2026-08-20 20:22:00,MOBILE
APP200116,CUS100116,312000,36,OTHER,2026-09-22 16:55:00,WEB
APP200117,CUS100117,586000,36,OTHER,2026-10-13 09:39:00,MOBILE
APP200118,CUS100118,1154000,36,TRAVEL,2026-07-25 04:28:00,WEB
APP200119,CUS100119,718000,24,EDUCATION,2026-10-21 19:11:00,MOBILE
APP200120,CUS100120,535000,48,EDUCATION,2026-05-02 15:30:00,WEB
APP200121,CUS100121,161000,18,EDUCATION,2026-08-14 07:40:00,WEB
APP200122,CUS100122,329000,12,EDUCATION,2026-07-24 00:29:00,MOBILE
APP200123,CUS100123,415000,36,HOME_RENOVATION,2026-03-21 10:33:00,WEB
APP200124,CUS100124,713000,48,TRAVEL,2026-10-23 06:10:00,MOBILE
APP200125,CUS100125,142000,48,DEBT_CONSOLIDATION,2026-02-18 14:48:00,WEB
APP200126,CUS100126,274000,12,EDUCATION,2026-04-23 21:05:00,WEB
APP200127,CUS100127,467000,60,OTHER,2026-07-09 14:21:00,MOBILE
APP200128,CUS100128,270000,24,EDUCATION,2026-07-22 12:34:00,MOBILE
APP200129,CUS100129,440000,36,OTHER,2026-10-07 07:02:00,MOBILE
APP200130,CUS100130,404000,24,OTHER,2026-01-26 19:19:00,MOBILE
APP200131,CUS100131,509000,24,OTHER,2026-09-03 10:45:00,MOBILE
APP200132,CUS100132,727000,36,MEDICAL,2026-07-24 02:45:00,MOBILE
APP200133,CUS100133,401000,36,EDUCATION,2026-04-12 18:46:00,MOBILE
APP200134,CUS100134,322000,36,MEDICAL,2026-12-31 06:22:00,WEB
APP200135,CUS100135,1926000,18,DEBT_CONSOLIDATION,2026-11-08 11:29:00,MOBILE
APP200136,CUS100136,1382000,36,OTHER,2026-01-05 19:08:00,MOBILE
APP200137,CUS100137,354000,36,HOME_RENOVATION,2026-09-30 06:20:00,MOBILE
APP200138,CUS100138,1173000,36,EDUCATION,2026-08-27 04:38:00,WEB
APP200139,CUS100139,743000,60,HOME_RENOVATION,2026-07-01 03:33:00,MOBILE
APP200140,CUS100140,469000,48,MEDICAL,2026-12-18 17:32:00,WEB
APP200141,CUS100141,385000,48,HOME_RENOVATION,2026-07-01 09:19:00,MOBILE
APP200142,CUS100142,509000,36,EDUCATION,2026-04-27 07:58:00,MOBILE
APP200143,CUS100143,567000,36,TRAVEL,2026-05-18 04:33:00,WEB
APP200144,CUS100144,319000,60,TRAVEL,2026-11-12 22:50:00,WEB
APP200145,CUS100145,764000,36,HOME_RENOVATION,2026-02-11 08:58:00,MOBILE
APP200146,CUS100146,330000,36,DEBT_CONSOLIDATION,2026-03-19 09:21:00,MOBILE
APP200147,CUS100147,484000,36,EDUCATION,2026-03-14 06:42:00,WEB
APP200148,CUS100148,122000,60,HOME_RENOVATION,2026-10-14 01:40:00,MOBILE
APP200149,CUS100149,221000,12,MEDICAL,2026-03-03 02:37:00,MOBILE
APP200150,CUS100150,297000,24,MEDICAL,2026-04-28 10:20:00,WEB
APP200151,CUS100151,689000,48,HOME_RENOVATION,2026-03-15 00:15:00,MOBILE
APP200152,CUS100152,396000,18,DEBT_CONSOLIDATION,2026-04-23 18:21:00,MOBILE
APP200153,CUS100153,151000,36,TRAVEL,2026-09-03 02:59:00,MOBILE
APP200154,CUS100154,401000,36,OTHER,2026-06-27 04:09:00,WEB
APP200155,CUS100155,646000,18,HOME_RENOVATION,2026-06-15 06:04:00,MOBILE
APP200156,CUS100156,513000,24,EDUCATION,2026-12-06 03:49:00,WEB
APP200157,CUS100157,1130000,24,OTHER,2026-12-04 22:52:00,MOBILE
APP200158,CUS100158,1011000,48,EDUCATION,2026-01-24 11:51:00,WEB
APP200159,CUS100159,319000,36,TRAVEL,2026-05-15 21:41:00,MOBILE
APP200160,CUS100160,822000,36,EDUCATION,2026-07-24 14:32:00,MOBILE
APP200161,CUS100161,446000,60,OTHER,2026-07-16 15:04:00,MOBILE
APP200162,CUS100162,637000,36,OTHER,2026-08-30 15:58:00,MOBILE
APP200163,CUS100163,276000,60,DEBT_CONSOLIDATION,2026-02-05 09:13:00,MOBILE
APP200164,CUS100164,414000,36,TRAVEL,2026-04-23 08:36:00,MOBILE
APP200165,CUS100165,1043000,48,DEBT_CONSOLIDATION,2026-02-05 08:23:00,MOBILE
APP200166,CUS100166,291000,24,EDUCATION,2026-12-29 07:10:00,MOBILE
APP200167,CUS100167,320000,24,TRAVEL,2026-03-05 10:04:00,MOBILE
APP200168,CUS100168,402000,48,EDUCATION,2026-07-26 12:28:00,MOBILE
APP200169,CUS100169,445000,48,DEBT_CONSOLIDATION,2026-09-11 06:10:00,WEB
APP200170,CUS100170,163000,36,TRAVEL,2026-12-28 08:28:00,WEB
APP200171,CUS100171,505000,18,DEBT_CONSOLIDATION,2026-09-08 03:59:00,MOBILE
APP200172,CUS100172,635000,36,TRAVEL,2026-06-07 18:35:00,WEB
APP200173,CUS100173,421000,24,EDUCATION,2026-05-23 02:46:00,MOBILE
APP200174,CUS100174,321000,36,TRAVEL,2026-06-12 06:51:00,MOBILE
APP200175,CUS100175,610000,24,OTHER,2026-11-02 02:14:00,MOBILE
APP200176,CUS100176,127000,48,OTHER,2026-10-10 14:36:00,MOBILE
APP200177,CUS100177,484000,12,DEBT_CONSOLIDATION,2026-12-10 04:20:00,WEB
APP200178,CUS100178,448000,36,MEDICAL,2026-08-26 23:19:00,MOBILE
APP200179,CUS100179,197000,18,TRAVEL,2026-12-03 00:35:00,WEB
APP200180,CUS100180,459000,48,TRAVEL,2026-12-29 02:51:00,MOBILE
APP200181,CUS100181,326000,36,MEDICAL,2026-07-24 20:45:00,MOBILE
APP200182,CUS100182,950000,48,EDUCATION,2026-09-22 22:24:00,WEB
APP200183,CUS100183,677000,36,OTHER,2026-03-18 11:29:00,MOBILE
APP200184,CUS100184,588000,48,OTHER,2026-12-23 08:34:00,MOBILE
APP200185,CUS100185,369000,60,HOME_RENOVATION,2026-05-19 11:18:00,MOBILE
APP200186,CUS100186,1183000,18,MEDICAL,2026-09-20 12:53:00,MOBILE
APP200187,CUS100187,167000,18,EDUCATION,2026-07-04 07:03:00,WEB
APP200188,CUS100188,354000,36,TRAVEL,2026-01-20 16:22:00,MOBILE
APP200189,CUS100189,249000,18,EDUCATION,2026-05-18 00:33:00,WEB
APP200190,CUS100190,312000,48,EDUCATION,2026-12-06 00:17:00,MOBILE
APP200191,CUS100191,404000,48,HOME_RENOVATION,2026-02-17 19:05:00,WEB
APP200192,CUS100192,335000,48,TRAVEL,2026-04-29 09:20:00,MOBILE
APP200193,CUS100193,443000,36,EDUCATION,2026-04-02 04:34:00,MOBILE
APP200194,CUS100194,437000,60,OTHER,2026-06-27 00:36:00,MOBILE
APP200195,CUS100195,279000,36,EDUCATION,2026-09-25 08:23:00,WEB
APP200196,CUS100196,299000,48,EDUCATION,2026-01-10 08:22:00,WEB
APP200197,CUS100197,282000,48,TRAVEL,2026-04-22 12:53:00,MOBILE
APP200198,CUS100198,701000,36,MEDICAL,2026-07-08 03:35:00,WEB
APP200199,CUS100199,397000,36,OTHER,2026-05-13 23:19:00,WEB
APP200200,CUS100200,377000,48,EDUCATION,2026-10-20 11:02:00,WEB
APP200201,CUS100201,262000,48,MEDICAL,2026-11-09 18:11:00,WEB
APP200202,CUS100202,490000,36,HOME_RENOVATION,2026-02-05 06:34:00,WEB
APP200203,CUS100203,1134000,60,MEDICAL,2026-07-21 16:33:00,WEB
APP200204,CUS100204,662000,36,TRAVEL,2026-04-08 19:50:00,WEB
APP200205,CUS100205,407000,60,MEDICAL,2026-03-03 11:36:00,MOBILE
APP200206,CUS100206,277000,36,EDUCATION,2026-10-06 15:29:00,MOBILE
APP200207,CUS100207,299000,36,DEBT_CONSOLIDATION,2026-12-12 07:20:00,MOBILE
APP200208,CUS100208,390000,48,MEDICAL,2026-11-14 06:39:00,MOBILE
APP200209,CUS100209,611000,48,DEBT_CONSOLIDATION,2026-05-25 07:37:00,WEB
APP200210,CUS100210,361000,36,MEDICAL,2026-01-15 10:56:00,MOBILE
APP200211,CUS100211,352000,36,HOME_RENOVATION,2026-05-03 20:39:00,MOBILE
APP200212,CUS100212,349000,36,MEDICAL,2026-02-11 00:53:00,WEB
APP200213,CUS100213,276000,36,HOME_RENOVATION,2026-06-02 15:23:00,MOBILE
APP200214,CUS100214,469000,36,HOME_RENOVATION,2026-07-26 10:47:00,WEB
APP200215,CUS100215,560000,24,OTHER,2026-01-10 02:04:00,MOBILE
APP200216,CUS100216,578000,36,EDUCATION,2026-07-11 04:55:00,MOBILE
APP200217,CUS100217,402000,24,DEBT_CONSOLIDATION,2026-01-19 17:46:00,WEB
APP200218,CUS100218,138000,24,HOME_RENOVATION,2026-01-06 08:59:00,MOBILE
APP200219,CUS100219,168000,36,EDUCATION,2026-04-02 18:12:00,MOBILE
APP200220,CUS100220,364000,60,OTHER,2026-09-27 03:28:00,MOBILE
APP200221,CUS100221,411000,36,EDUCATION,2026-03-09 22:35:00,MOBILE
APP200222,CUS100222,545000,24,DEBT_CONSOLIDATION,2026-08-12 19:02:00,WEB
APP200223,CUS100223,523000,24,TRAVEL,2026-07-30 13:57:00,MOBILE
APP200224,CUS100224,385000,48,EDUCATION,2026-07-07 12:22:00,MOBILE
APP200225,CUS100225,561000,60,TRAVEL,2026-12-08 09:35:00,MOBILE
APP200226,CUS100226,532000,48,DEBT_CONSOLIDATION,2026-01-11 14:22:00,WEB
APP200227,CUS100227,328000,48,OTHER,2026-06-06 23:01:00,MOBILE
APP200228,CUS100228,177000,48,MEDICAL,2026-07-11 18:05:00,WEB
APP200229,CUS100229,369000,24,EDUCATION,2026-08-16 14:06:00,MOBILE
APP200230,CUS100230,586000,36,MEDICAL,2026-09-07 01:44:00,MOBILE
APP200231,CUS100231,228000,36,EDUCATION,2026-03-25 08:07:00,WEB
APP200232,CUS100232,372000,60,DEBT_CONSOLIDATION,2026-10-18 16:22:00,MOBILE
APP200233,CUS100233,595000,36,TRAVEL,2026-07-17 04:17:00,MOBILE
APP200234,CUS100234,648000,60,MEDICAL,2026-08-09 10:34:00,MOBILE
APP200235,CUS100235,488000,24,MEDICAL,2026-06-17 15:10:00,WEB
APP200236,CUS100236,839000,48,HOME_RENOVATION,2026-12-01 05:08:00,MOBILE
APP200237,CUS100237,566000,36,EDUCATION,2026-04-17 10:57:00,MOBILE
APP200238,CUS100238,350000,48,DEBT_CONSOLIDATION,2026-12-04 23:42:00,MOBILE
APP200239,CUS100239,477000,24,EDUCATION,2026-09-12 22:17:00,MOBILE
APP200240,CUS100240,414000,36,TRAVEL,2026-10-26 07:49:00,MOBILE
APP200241,CUS100241,180000,36,OTHER,2026-08-17 18:37:00,MOBILE
APP200242,CUS100242,328000,36,MEDICAL,2026-04-22 01:31:00,MOBILE
APP200243,CUS100243,824000,24,HOME_RENOVATION,2026-10-05 02:33:00,WEB
APP200244,CUS100244,407000,24,OTHER,2026-06-20 14:55:00,WEB
APP200245,CUS100245,674000,60,HOME_RENOVATION,2026-09-10 01:47:00,WEB
APP200246,CUS100246,418000,36,TRAVEL,2026-03-19 15:13:00,MOBILE
APP200247,CUS100247,274000,36,DEBT_CONSOLIDATION,2026-01-18 00:20:00,WEB
APP200248,CUS100248,366000,12,DEBT_CONSOLIDATION,2026-08-20 11:05:00,MOBILE
APP200249,CUS100249,221000,60,TRAVEL,2026-11-16 02:29:00,MOBILE
APP200250,CUS100250,157000,48,MEDICAL,2026-10-06 18:40:00,MOBILE
APP200251,CUS100251,469000,36,MEDICAL,2026-11-11 20:12:00,WEB
APP200252,CUS100252,195000,12,OTHER,2026-01-06 18:05:00,MOBILE
APP200253,CUS100253,394000,48,EDUCATION,2026-11-15 00:06:00,MOBILE
APP200254,CUS100254,685000,36,OTHER,2026-05-16 13:03:00,MOBILE
APP200255,CUS100255,190000,18,MEDICAL,2026-02-08 16:01:00,WEB
APP200256,CUS100256,297000,24,TRAVEL,2026-10-05 15:24:00,MOBILE
APP200257,CUS100257,330000,36,MEDICAL,2026-08-04 13:50:00,MOBILE
APP200258,CUS100258,447000,36,MEDICAL,2026-04-23 04:23:00,MOBILE
APP200259,CUS100259,610000,48,TRAVEL,2026-11-22 08:26:00,WEB
APP200260,CUS100260,243000,48,TRAVEL,2026-11-26 04:54:00,WEB
APP200261,CUS100261,986000,36,TRAVEL,2026-07-26 19:26:00,MOBILE
APP200262,CUS100262,780000,24,TRAVEL,2026-12-03 06:54:00,MOBILE
APP200263,CUS100263,745000,48,MEDICAL,2026-01-22 15:36:00,WEB
APP200264,CUS100264,462000,36,OTHER,2026-03-15 15:54:00,WEB
APP200265,CUS100265,516000,48,DEBT_CONSOLIDATION,2026-09-14 19:01:00,MOBILE
APP200266,CUS100266,907000,24,OTHER,2026-03-12 06:06:00,WEB
APP200267,CUS100267,119000,36,TRAVEL,2026-10-19 11:24:00,WEB
APP200268,CUS100268,1008000,24,DEBT_CONSOLIDATION,2026-04-01 07:58:00,MOBILE
APP200269,CUS100269,721000,36,DEBT_CONSOLIDATION,2026-09-26 22:29:00,WEB
APP200270,CUS100270,442000,60,MEDICAL,2026-11-11 05:44:00,MOBILE
APP200271,CUS100271,439000,36,MEDICAL,2026-10-26 12:18:00,MOBILE
APP200272,CUS100272,393000,24,DEBT_CONSOLIDATION,2026-02-21 01:18:00,MOBILE
APP200273,CUS100273,613000,24,OTHER,2026-10-06 06:16:00,MOBILE
APP200274,CUS100274,411000,12,EDUCATION,2026-11-21 00:17:00,MOBILE
APP200275,CUS100275,249000,36,DEBT_CONSOLIDATION,2026-04-29 18:51:00,WEB
APP200276,CUS100276,462000,24,DEBT_CONSOLIDATION,2026-06-17 22:57:00,WEB
APP200277,CUS100277,1153000,36,DEBT_CONSOLIDATION,2026-12-27 21:46:00,MOBILE
APP200278,CUS100278,254000,36,EDUCATION,2026-12-15 02:32:00,WEB
APP200279,CUS100279,1415000,36,DEBT_CONSOLIDATION,2026-03-07 16:46:00,WEB
APP200280,CUS100280,364000,60,DEBT_CONSOLIDATION,2026-05-31 08:10:00,MOBILE
APP200281,CUS100281,221000,36,HOME_RENOVATION,2026-11-11 00:17:00,MOBILE
APP200282,CUS100282,154000,48,OTHER,2026-11-21 01:23:00,WEB
APP200283,CUS100283,325000,48,OTHER,2026-05-20 05:55:00,WEB
APP200284,CUS100284,175000,36,MEDICAL,2026-01-02 09:45:00,MOBILE
APP200285,CUS100285,190000,36,HOME_RENOVATION,2026-11-22 19:16:00,MOBILE
APP200286,CUS100286,199000,60,OTHER,2026-05-31 05:21:00,MOBILE
APP200287,CUS100287,519000,36,HOME_RENOVATION,2026-07-31 07:36:00,MOBILE
APP200288,CUS100288,648000,60,MEDICAL,2026-10-04 08:25:00,WEB
APP200289,CUS100289,891000,24,DEBT_CONSOLIDATION,2026-08-08 19:30:00,MOBILE
APP200290,CUS100290,789000,48,HOME_RENOVATION,2026-03-31 09:39:00,MOBILE
APP200291,CUS100291,453000,36,HOME_RENOVATION,2026-01-29 09:49:00,MOBILE
APP200292,CUS100292,359000,36,HOME_RENOVATION,2026-12-18 20:15:00,WEB
APP200293,CUS100293,163000,36,DEBT_CONSOLIDATION,2026-06-27 18:56:00,MOBILE
APP200294,CUS100294,129000,48,DEBT_CONSOLIDATION,2026-01-03 19:02:00,WEB
APP200295,CUS100295,494000,24,TRAVEL,2026-09-17 14:31:00,WEB
APP200296,CUS100296,596000,18,TRAVEL,2026-05-30 22:22:00,MOBILE
APP200297,CUS100297,366000,24,TRAVEL,2026-03-03 08:41:00,WEB
APP200298,CUS100298,134000,60,EDUCATION,2026-05-16 03:16:00,MOBILE
APP200299,CUS100299,229000,48,DEBT_CONSOLIDATION,2026-05-10 14:47:00,MOBILE
APP200300,CUS100300,471000,24,EDUCATION,2026-05-30 01:09:00,MOBILE
APP200301,CUS100301,481000,60,TRAVEL,2026-09-04 04:14:00,WEB
APP200302,CUS100302,536000,36,HOME_RENOVATION,2026-01-11 10:26:00,WEB
APP200303,CUS100303,391000,36,MEDICAL,2026-05-23 20:17:00,WEB
APP200304,CUS100304,305000,36,EDUCATION,2026-08-21 13:03:00,MOBILE
APP200305,CUS100305,366000,12,DEBT_CONSOLIDATION,2026-12-31 07:29:00,MOBILE
APP200306,CUS100306,206000,24,MEDICAL,2026-08-11 12:07:00,MOBILE
APP200307,CUS100307,452000,60,MEDICAL,2026-12-04 17:53:00,MOBILE
APP200308,CUS100308,540000,48,MEDICAL,2026-05-15 22:41:00,MOBILE
APP200309,CUS100309,373000,60,MEDICAL,2026-06-24 23:00:00,MOBILE
APP200310,CUS100310,487000,48,EDUCATION,2026-12-14 21:44:00,MOBILE
APP200311,CUS100311,336000,24,DEBT_CONSOLIDATION,2026-05-18 22:24:00,WEB
APP200312,CUS100312,346000,48,OTHER,2026-09-12 10:50:00,WEB
APP200313,CUS100313,113000,18,DEBT_CONSOLIDATION,2026-01-30 17:06:00,MOBILE
APP200314,CUS100314,845000,36,DEBT_CONSOLIDATION,2026-05-21 19:46:00,MOBILE
APP200315,CUS100315,481000,60,OTHER,2026-03-30 16:09:00,MOBILE
APP200316,CUS100316,1073000,36,TRAVEL,2026-03-31 00:18:00,MOBILE
APP200317,CUS100317,443000,36,TRAVEL,2026-09-26 21:06:00,MOBILE
APP200318,CUS100318,583000,48,EDUCATION,2026-05-06 22:06:00,WEB
APP200319,CUS100319,308000,60,OTHER,2026-02-21 00:32:00,MOBILE
APP200320,CUS100320,100000,48,MEDICAL,2026-12-11 02:18:00,MOBILE
APP200321,CUS100321,593000,36,EDUCATION,2026-03-18 05:01:00,MOBILE
APP200322,CUS100322,369000,24,DEBT_CONSOLIDATION,2026-12-31 11:24:00,WEB
APP200323,CUS100323,162000,36,EDUCATION,2026-01-07 09:41:00,MOBILE
