customer_id,age,monthly_income,employment_tenure_months,relationship_months,bureau_score,active_loans,existing_monthly_emi,foir,employment_type
CUS100032,27,82600,103,67,720,0,9700,0.117,SALARIED
CUS100033,41,63400,55,125,665,0,12700,0.2,SALARIED
CUS100034,29,96200,65,92,615,4,24400,0.254,SALARIED
CUS100035,59,69500,42,64,838,2,3300,0.047,SALARIED
CUS100036,38,64300,18,37,761,5,10300,0.16,SALARIED
CUS100037,24,123600,16,77,679,0,6200,0.05,SALARIED
CUS100038,45,193800,60,29,717,1,7800,0.04,SALARIED
CUS100039,34,76100,31,101,696,1,33700,0.443,SALARIED
CUS100040,29,54800,22,40,781,0,11900,0.217,SALARIED
CUS100041,46,79300,34,133,848,0,9100,0.115,SALARIED
CUS100042,22,107200,14,31,686,5,17500,0.163,SALARIED
CUS100043,40,95400,142,64,775,0,10100,0.106,SALARIED
CUS100044,48,145500,37,70,737,0,11600,0.08,SALARIED
CUS100045,27,114700,28,19,708,5,21900,0.191,SALARIED
CUS100046,28,51700,35,128,718,0,26600,0.515,SALARIED
CUS100047,55,68100,40,55,675,1,6700,0.098,SALARIED
CUS100048,34,45700,55,108,752,0,5500,0.12,SALARIED
CUS100049,37,142300,34,37,755,1,6400,0.045,SALARIED
CUS100050,56,34700,84,56,769,2,10800,0.311,SALARIED
CUS100051,60,47700,46,44,746,3,11300,0.237,SALARIED
CUS100052,24,67500,33,85,680,1,9600,0.142,SALARIED
CUS100053,22,109600,46,180,772,1,15300,0.14,SALARIED
CUS100054,26,67200,48,93,689,1,6100,0.091,SALARIED
CUS100055,24,72100,18,103,731,1,11400,0.158,SALARIED
CUS100056,49,72800,21,29,682,1,9400,0.129,SALARIED
CUS100057,38,91900,40,65,788,1,12700,0.138,SALARIED
CUS100058,46,49100,8,98,696,2,12800,0.261,SALARIED
CUS100059,54,55500,62,108,850,1,5800,0.105,SALARIED
CUS100060,30,181100,35,47,707,2,23800,0.131,SALARIED
CUS100061,56,101900,45,85,766,1,8000,0.079,SALARIED
CUS100062,34,119700,74,74,769,1,2600,0.03,SALARIED
CUS100063,51,87200,27,73,664,1,9900,0.114,SALARIED
CUS100064,35,79800,60,113,627,1,41900,0.525,SALARIED
CUS100065,28,104400,31,72,679,0,7900,0.076,SALARIED
CUS100066,34,117900,64,92,745,0,18700,0.159,SALARIED
CUS100067,43,124400,74,72,682,0,28800,0.232,SALARIED
CUS100068,60,80300,33,128,690,4,8800,0.11,SALARIED
CUS100069,41,130700,30,60,825,3,16400,0.125,SALARIED
CUS100070,36,30000,62,74,705,3,5900,0.197,SALARIED
CUS100071,38,127000,30,86,785,0,57500,0.453,SALARIED
CUS100072,44,70100,13,70,717,0,6700,0.096,SALARIED
CUS100073,46,109000,73,62,723,1,28300,0.26,SALARIED
CUS100074,45,63500,30,44,710,1,7000,0.11,SALARIED
CUS100075,49,46800,65,129,725,1,4000,0.085,SALARIED
CUS100076,35,99000,19,104,658,0,8600,0.087,SALARIED
CUS100077,21,43200,56,81,686,0,1200,0.03,SALARIED
CUS100078,45,71000,62,44,694,2,2200,0.031,SALARIED
CUS100079,27,59000,46,59,771,1,11100,0.188,SALARIED
CUS100080,29,78600,51,180,819,3,25600,0.326,SALARIED
CUS100081,44,121700,28,107,806,1,43200,0.355,SALARIED
CUS100082,21,68200,96,40,718,0,11300,0.166,SALARIED
CUS100083,28,97900,24,76,679,0,20400,0.208,SALARIED
CUS100084,44,118600,60,60,728,2,7400,0.062,SALARIED
CUS100085,31,64700,37,104,756,2,11200,0.173,SALARIED
CUS100086,37,65100,75,124,733,1,6900,0.106,SALARIED
CUS100087,28,157400,25,98,777,1,2500,0.03,SALARIED
CUS100088,55,82000,26,115,674,2,5000,0.061,SALARIED
CUS100089,55,106900,48,41,734,1,29600,0.277,SALARIED
CUS100090,53,106500,61,92,730,2,37800,0.355,SALARIED
CUS100091,25,49600,26,117,723,0,14700,0.296,SALARIED
CUS100092,59,60400,28,78,698,1,14900,0.247,SALARIED
CUS100093,48,100600,12,84,653,2,19000,0.189,SALARIED
CUS100094,27,33500,25,49,657,3,11300,0.337,SALARIED
CUS100095,29,77300,81,115,834,4,16400,0.212,SALARIED
CUS100096,28,57600,14,39,663,1,4400,0.076,SALARIED
CUS100097,32,140100,31,104,703,1,51100,0.365,SALARIED
CUS100098,54,99300,36,81,697,3,26900,0.271,SALARIED
CUS100099,53,145300,27,139,708,0,36700,0.253,SALARIED
CUS100100,43,83500,34,52,850,1,2600,0.031,SALARIED
CUS100101,44,80800,64,88,760,0,29800,0.369,SALARIED
CUS100102,57,74100,42,99,706,1,16100,0.217,SALARIED
CUS100103,55,67800,36,79,732,1,6700,0.099,SALARIED
CUS100104,60,284500,58,57,777,1,43000,0.151,SALARIED
CUS100105,42,122200,42,22,800,0,5400,0.044,SALARIED
CUS100106,47,52600,67,54,759,0,10100,0.192,SALARIED
CUS100107,55,278800,26,63,835,0,36400,0.131,SALARIED
CUS100108,21,70800,89,23,691,0,9300,0.131,SALARIED
CUS100109,55,98200,19,21,719,0,33800,0.344,SALARIED
CUS100110,57,129700,21,86,745,1,31700,0.244,SALARIED
CUS100111,34,42500,41,56,754,2,2100,0.049,SALARIED
CUS100112,23,58600,9,68,699,0,4300,0.073,SALARIED
CUS100113,21,178500,51,114,793,1,52400,0.294,SALARIED
CUS100114,25,76800,23,94,767,1,34600,0.451,SALARIED
CUS100115,46,133200,35,31,706,1,34700,0.261,SALARIED
CUS100116,34,69300,24,16,714,0,6000,0.087,SALARIED
CUS100117,59,81400,6,106,791,0,23900,0.294,SALARIED
CUS100118,47,189800,42,26,703,0,24400,0.129,SALARIED
CUS100119,29,103500,114,36,684,0,39000,0.377,SALARIED
CUS100120,35,72800,33,40,670,1,6500,0.089,SALARIED
CUS100121,35,62500,48,137,628,2,3800,0.061,SALARIED
CUS100122,46,65100,42,83,712,1,9900,0.152,SALARIED
CUS100123,33,148600,54,94,594,0,4600,0.031,SALARIED
CUS100124,52,120000,6,13,695,3,8500,0.071,SALARIED
CUS100125,59,50700,50,20,850,1,6100,0.12,SALARIED
CUS100126,52,88400,40,106,692,1,22500,0.255,SALARIED
CUS100127,24,82500,46,26,776,0,47100,0.571,SALARIED
CUS100128,50,98000,17,155,746,1,9900,0.101,SALARIED
CUS100129,57,64800,63,43,814,0,6800,0.105,SALARIED
CUS100130,43,139300,23,39,695,0,23600,0.169,SALARIED
CUS100131,59,84900,35,40,738,1,8500,0.1,SALARIED
CUS100132,35,100600,38,63,720,1,16200,0.161,SALARIED
CUS100133,49,59700,50,150,739,1,15100,0.253,SALARIED
CUS100134,56,61100,38,50,673,1,6300,0.103,SALARIED
CUS100135,33,281000,65,83,699,3,55700,0.198,SALARIED
CUS100136,52,191100,23,100,659,0,37900,0.198,SALARIED
CUS100137,27,82400,99,137,672,1,25600,0.311,SALARIED
CUS100138,42,169400,97,105,742,1,61700,0.364,SALARIED
CUS100139,48,146700,54,77,840,0,26700,0.182,SALARIED
CUS100140,22,64200,19,22,793,1,5600,0.087,SALARIED
CUS100141,26,61300,19,63,749,0,22300,0.364,SALARIED
CUS100142,48,114800,76,20,705,2,19300,0.168,SALARIED
CUS100143,48,95600,22,30,653,1,4500,0.047,SALARIED
CUS100144,40,70900,94,56,658,0,4600,0.065,SALARIED
CUS100145,50,117600,74,78,733,2,21200,0.18,SALARIED
CUS100146,31,44400,22,44,843,2,2100,0.047,SALARIED
CUS100147,48,89500,33,158,772,2,17800,0.199,SALARIED
CUS100148,45,48700,71,76,747,2,19100,0.392,SALARIED
CUS100149,59,49400,47,113,850,3,9400,0.19,SALARIED
CUS100150,53,61800,28,17,741,3,7900,0.128,SALARIED
CUS100151,21,100100,56,83,765,1,12400,0.124,SALARIED
CUS100152,47,62700,71,158,850,1,19300,0.308,SALARIED
CUS100153,33,49100,13,119,789,2,6900,0.141,SALARIED
CUS100154,23,105400,62,77,761,2,16000,0.152,SALARIED
CUS100155,59,166400,68,70,603,0,41300,0.248,SALARIED
CUS100156,26,113300,10,50,815,2,5400,0.048,SALARIED
CUS100157,28,191200,36,38,663,1,47100,0.246,SALARIED
CUS100158,47,160300,34,35,640,2,23100,0.144,SALARIED
CUS100159,29,68300,24,19,751,0,12600,0.184,SALARIED
CUS100160,57,113000,65,42,767,1,22400,0.198,SALARIED
CUS100161,53,81600,19,49,677,0,13400,0.164,SALARIED
CUS100162,44,137100,26,76,651,2,30900,0.225,SALARIED
CUS100163,35,81600,75,40,613,0,15600,0.191,SALARIED
CUS100164,52,59600,40,77,706,0,2400,0.04,SALARIED
CUS100165,52,157700,46,122,718,4,40000,0.254,SALARIED
CUS100166,44,98100,15,83,658,2,15400,0.157,SALARIED
CUS100167,32,63100,18,86,845,0,28000,0.444,SALARIED
CUS100168,59,67900,48,75,696,1,20900,0.308,SALARIED
CUS100169,22,62900,22,140,703,1,32000,0.509,SALARIED
CUS100170,23,54200,104,75,789,3,4600,0.085,SALARIED
CUS100171,57,68600,32,38,684,1,5700,0.083,SALARIED
CUS100172,37,100500,35,82,845,1,25700,0.256,SALARIED
CUS100173,22,87500,51,73,789,2,19000,0.217,SALARIED
CUS100174,22,69800,38,120,716,1,18700,0.268,SALARIED
CUS100175,48,166600,74,79,814,1,43000,0.258,SALARIED
CUS100176,43,34400,59,81,815,2,4100,0.119,SALARIED
CUS100177,57,97600,76,55,711,3,14000,0.143,SALARIED
CUS100178,52,79700,54,59,681,3,7700,0.097,SALARIED
CUS100179,53,54900,59,47,711,1,9500,0.173,SALARIED
CUS100180,21,100100,29,69,764,2,23000,0.23,SALARIED
CUS100181,39,77000,44,66,706,0,1900,0.03,SALARIED
CUS100182,22,149000,64,62,718,1,31700,0.213,SALARIED
CUS100183,46,125600,47,107,707,4,9800,0.078,SALARIED
CUS100184,52,200400,32,80,699,1,22200,0.111,SALARIED
CUS100185,26,68400,58,57,752,1,14900,0.218,SALARIED
CUS100186,52,159300,24,81,706,2,48800,0.306,SALARIED
CUS100187,24,50300,38,180,818,1,8700,0.173,SALARIED
CUS100188,31,80900,67,180,733,2,1100,0.03,SALARIED
CUS100189,37,68900,115,43,676,0,5100,0.074,SALARIED
CUS100190,58,111500,12,69,738,1,13000,0.117,SALARIED
CUS100191,44,110300,65,48,774,4,41200,0.374,SALARIED
CUS100192,25,56700,67,60,728,1,7700,0.136,SALARIED
CUS100193,54,114300,28,77,692,1,11200,0.098,SALARIED
CUS100194,26,71600,23,110,679,2,21400,0.299,SALARIED
CUS100195,42,58900,21,72,752,1,18800,0.319,SALARIED
CUS100196,31,84600,73,34,757,1,2700,0.032,SALARIED
CUS100197,36,43700,26,120,793,0,10200,0.233,SALARIED
CUS100198,53,129200,14,84,678,2,29000,0.224,SALARIED
CUS100199,29,82900,51,59,740,3,14200,0.171,SALARIED
CUS100200,26,83700,38,70,688,0,27500,0.329,SALARIED
CUS100201,36,81700,35,66,744,1,10500,0.129,SALARIED
CUS100202,49,178300,8,107,657,2,29200,0.164,SALARIED
CUS100203,23,168400,36,70,803,0,52200,0.31,SALARIED
CUS100204,40,156100,44,71,622,0,7000,0.045,SALARIED
CUS100205,56,81800,41,53,680,4,22600,0.276,SALARIED
CUS100206,39,51500,15,92,744,2,7200,0.14,SALARIED
CUS100207,46,84400,40,66,684,3,4500,0.053,SALARIED
CUS100208,23,97900,27,60,686,1,11800,0.121,SALARIED
CUS100209,39,122500,80,59,771,0,54900,0.448,SALARIED
CUS100210,40,97800,33,110,578,1,20900,0.214,SALARIED
CUS100211,52,53600,29,54,632,1,10300,0.192,SALARIED
CUS100212,27,66800,27,49,671,2,12400,0.186,SALARIED
CUS100213,53,64100,29,133,671,2,15100,0.236,SALARIED
CUS100214,60,108300,17,28,778,0,34200,0.316,SALARIED
CUS100215,59,109500,39,82,759,1,8700,0.079,SALARIED
CUS100216,38,116200,18,67,742,1,4000,0.034,SALARIED
CUS100217,60,97300,27,73,803,0,25800,0.265,SALARIED
CUS100218,21,33600,55,66,564,0,11800,0.351,SALARIED
CUS100219,31,39100,59,71,738,1,16800,0.43,SALARIED
CUS100220,48,79800,37,106,832,1,24300,0.305,SALARIED
CUS100221,45,88800,69,26,753,2,22100,0.249,SALARIED
CUS100222,43,149400,40,46,678,1,28100,0.188,SALARIED
CUS100223,51,88000,77,66,770,0,11200,0.127,SALARIED
CUS100224,50,54800,42,94,736,2,9000,0.164,SALARIED
CUS100225,55,114500,22,112,739,2,27000,0.236,SALARIED
CUS100226,27,84300,109,41,686,0,14800,0.176,SALARIED
CUS100227,36,70900,25,34,817,1,24600,0.347,SALARIED
CUS100228,46,41100,66,56,815,0,4300,0.105,SALARIED
CUS100229,22,88300,60,28,726,2,10000,0.113,SALARIED
CUS100230,21,94200,45,82,711,1,9200,0.098,SALARIED
CUS100231,32,54300,26,36,783,0,3400,0.063,SALARIED
CUS100232,25,118800,42,72,672,2,41800,0.352,SALARIED
CUS100233,57,114100,35,43,689,0,46300,0.406,SALARIED
CUS100234,52,86900,21,26,772,0,16900,0.194,SALARIED
CUS100235,29,85400,38,36,732,3,23700,0.278,SALARIED
CUS100236,55,130100,29,61,807,1,27200,0.209,SALARIED
CUS100237,39,100300,41,35,686,0,7400,0.074,SALARIED
CUS100238,36,62000,22,116,677,1,30000,0.484,SALARIED
CUS100239,23,77800,36,60,771,0,10400,0.134,SALARIED
CUS100240,40,109200,55,74,653,1,2500,0.03,SALARIED
CUS100241,44,34100,39,46,774,0,13700,0.402,SALARIED
CUS100242,53,55900,55,52,737,1,4100,0.073,SALARIED
CUS100243,44,115500,61,97,684,0,3600,0.031,SALARIED
CUS100244,31,146400,28,41,672,1,32700,0.223,SALARIED
CUS100245,28,134600,20,54,703,1,19600,0.146,SALARIED
CUS100246,56,127100,47,42,654,2,17200,0.135,SALARIED
CUS100247,58,90100,19,40,849,1,10200,0.113,SALARIED
CUS100248,60,53500,22,132,732,4,18200,0.34,SALARIED
CUS100249,40,77800,42,62,749,0,5500,0.071,SALARIED
CUS100250,55,34700,42,20,661,2,900,0.03,SALARIED
CUS100251,45,152600,26,51,685,0,18300,0.12,SALARIED
CUS100252,55,58800,29,65,779,1,2800,0.048,SALARIED
CUS100253,45,66900,36,166,672,2,4700,0.07,SALARIED
CUS100254,49,136900,88,45,703,1,42000,0.307,SALARIED
CUS100255,38,41100,19,17,751,2,4600,0.112,SALARIED
CUS100256,38,49800,26,72,711,0,9500,0.191,SALARIED
CUS100257,22,95900,33,93,698,1,4800,0.05,SALARIED
CUS100258,55,107400,62,24,663,0,20800,0.194,SALARIED
CUS100259,36,82300,18,57,781,1,5900,0.072,SALARIED
CUS100260,56,83500,41,50,808,1,10000,0.12,SALARIED
CUS100261,53,150400,61,54,846,2,4500,0.03,SALARIED
CUS100262,24,113200,58,40,720,1,35400,0.313,SALARIED
CUS100263,53,106500,124,33,755,1,26700,0.251,SALARIED
CUS100264,34,120500,35,32,793,2,20100,0.167,SALARIED
CUS100265,41,74200,51,114,741,1,11000,0.148,SALARIED
CUS100266,40,226000,28,69,791,1,24700,0.109,SALARIED
CUS100267,28,30100,71,131,762,2,1200,0.04,SALARIED
CUS100268,27,163800,71,74,772,1,7100,0.043,SALARIED
CUS100269,23,127600,30,180,688,2,25400,0.199,SALARIED
CUS100270,37,95000,37,42,634,1,12600,0.133,SALARIED
CUS100271,53,88100,58,109,774,0,26300,0.299,SALARIED
CUS100272,32,79300,59,36,732,1,17900,0.226,SALARIED
CUS100273,42,139700,19,77,733,3,22800,0.163,SALARIED
CUS100274,42,83500,17,55,635,2,12500,0.15,SALARIED
CUS100275,50,61300,56,48,809,1,18400,0.3,SALARIED
CUS100276,58,127600,137,72,713,2,56300,0.441,SALARIED
CUS100277,58,173400,21,93,612,0,37500,0.216,SALARIED
CUS100278,28,35700,68,53,844,2,1900,0.053,SALARIED
CUS100279,47,245500,50,56,727,2,15100,0.062,SALARIED
CUS100280,47,53300,29,57,764,0,12500,0.235,SALARIED
CUS100281,54,55200,43,47,850,1,2600,0.047,SALARIED
CUS100282,41,48500,33,47,705,2,8300,0.171,SALARIED
CUS100283,50,85000,39,82,737,1,16600,0.195,SALARIED
CUS100284,53,47800,65,62,698,0,4200,0.088,SALARIED
CUS100285,48,50500,57,62,802,1,2400,0.048,SALARIED
CUS100286,53,62400,59,62,662,2,12000,0.192,SALARIED
CUS100287,25,90500,38,159,810,3,1600,0.03,SALARIED
CUS100288,39,94500,48,155,786,4,42600,0.451,SALARIED
CUS100289,24,148600,111,40,687,1,19700,0.133,SALARIED
CUS100290,55,147100,29,69,723,0,25300,0.172,SALARIED
CUS100291,37,134800,43,37,832,3,3700,0.03,SALARIED
CUS100292,48,75600,52,61,622,2,3300,0.044,SALARIED
CUS100293,50,37100,18,95,737,1,7300,0.197,SALARIED
CUS100294,49,36800,44,109,712,2,22300,0.606,SALARIED
CUS100295,26,134400,58,40,706,1,17100,0.127,SALARIED
CUS100296,55,124300,27,131,600,2,58000,0.467,SALARIED
CUS100297,57,64400,66,37,731,0,27600,0.429,SALARIED
CUS100298,44,44400,38,73,629,3,9700,0.218,SALARIED
CUS100299,49,53100,42,71,749,0,5000,0.094,SALARIED
CUS100300,51,92000,29,89,754,4,23400,0.254,SALARIED
CUS100301,55,92000,63,139,819,1,23700,0.258,SALARIED
CUS100302,53,135900,23,19,812,1,55100,0.405,SALARIED
CUS100303,41,69400,34,117,732,1,12300,0.177,SALARIED
CUS100304,52,76200,33,116,788,0,20100,0.264,SALARIED
CUS100305,43,141000,48,24,797,1,16100,0.114,SALARIED
CUS100306,53,32700,124,84,742,3,2400,0.073,SALARIED
CUS100307,23,98100,31,78,713,1,12200,0.124,SALARIED
CUS100308,38,73100,26,26,820,1,19000,0.26,SALARIED
CUS100309,45,117100,52,30,745,1,35500,0.303,SALARIED
CUS100310,51,107100,35,100,629,2,31500,0.294,SALARIED
CUS100311,23,62100,26,65,755,0,17700,0.285,SALARIED
CUS100312,60,67700,30,54,694,2,7200,0.106,SALARIED
CUS100313,44,30200,51,65,850,1,4800,0.159,SALARIED
CUS100314,52,119100,85,113,686,1,55400,0.465,SALARIED
CUS100315,42,94700,55,32,712,1,16200,0.171,SALARIED
CUS100316,43,159500,12,75,790,1,32700,0.205,SALARIED
CUS100317,22,71000,37,62,850,0,2300,0.032,SALARIED
CUS100318,47,128300,24,117,727,2,5200,0.041,SALARIED
CUS100319,22,52500,64,51,681,3,8200,0.156,SALARIED
CUS100320,46,30000,41,49,683,2,2700,0.09,SALARIED
CUS100321,37,81500,27,51,642,2,9800,0.12,SALARIED
CUS100322,60,65900,47,26,745,3,2300,0.035,SALARIED
CUS100323,53,53000,43,59,755,2,5000,0.094,SALARIED
CUS100324,29,127300,20,48,659,0,37000,0.291,SALARIED
CUS100325,59,146400,24,83,718,1,31800,0.217,SALARIED
CUS100326,49,89100,62,111,716,1,9500,0.107,SALARIED
CUS100327,46,78300,66,80,696,1,26700,0.341,SALARIED
CUS100328,55,87400,59,117,769,1,15600,0.178,SALARIED
CUS100329,45,63400,24,50,704,4,27500,0.434,SALARIED
CUS100330,44,109500,25,73,816,0,8400,0.077,SALARIED
CUS100331,33,42500,37,147,641,1,17600,0.414,SALARIED
CUS100332,27,52400,47,85,727,1,19600,0.374,SALARIED
CUS100333,56,59500,69,90,627,0,8900,0.15,SALARIED
CUS100334,40,108400,61,180,766,0,6400,0.059,SALARIED
CUS100335,21,74200,44,176,721,0,20100,0.271,SALARIED
CUS100336,28,156800,62,92,723,1,33700,0.215,SALARIED
CUS100337,36,122000,36,83,704,2,24500,0.201,SALARIED
CUS100338,34,59300,66,44,795,0,9300,0.157,SALARIED
CUS100339,32,113000,44,21,794,1,63100,0.558,SALARIED
CUS100340,43,70700,27,50,756,1,13400,0.19,SALARIED
CUS100341,35,105200,17,55,712,3,17000,0.162,SALARIED
CUS100342,48,124700,63,59,746,2,13800,0.111,SALARIED
CUS100343,54,140400,7,99,750,1,52300,0.373,SALARIED
CUS100344,22,93100,50,131,722,2,10100,0.108,SALARIED
CUS100345,52,174600,26,99,850,3,72200,0.414,SALARIED
CUS100346,43,103700,25,69,696,0,15800,0.152,SALARIED
CUS100347,42,90300,40,96,734,1,24500,0.271,SALARIED
CUS100348,45,74200,40,70,710,1,23000,0.31,SALARIED
CUS100349,42,64000,69,34,834,0,25300,0.395,SALARIED
CUS100350,42,102700,48,62,698,2,10000,0.097,SALARIED
CUS100351,26,88900,34,42,787,1,15700,0.177,SALARIED
CUS100352,35,95600,77,41,687,0,18000,0.188,SALARIED
CUS100353,57,105500,24,85,741,0,39200,0.372,SALARIED
CUS100354,53,95400,16,42,849,3,5600,0.059,SALARIED
CUS100355,28,210300,15,112,654,2,27400,0.13,SALARIED
CUS100356,25,67000,42,56,684,2,11800,0.176,SALARIED
CUS100357,59,103300,28,104,850,0,12900,0.125,SALARIED
CUS100358,24,76700,45,63,796,1,14900,0.194,SALARIED
CUS100359,26,30000,19,42,630,1,9600,0.32,SALARIED
CUS100360,52,77900,30,90,705,2,12100,0.155,SALARIED
CUS100361,50,55800,57,82,715,2,10300,0.185,SALARIED
CUS100362,55,82500,65,151,775,3,8300,0.101,SALARIED
CUS100363,60,84000,73,48,771,2,16700,0.199,SALARIED
CUS100364,36,101100,22,57,750,1,1500,0.03,SALARIED
CUS100365,33,67000,61,32,664,0,8800,0.131,SALARIED
CUS100366,50,70800,39,74,813,0,6600,0.093,SALARIED
CUS100367,39,116500,33,83,778,1,37600,0.323,SALARIED
CUS100368,37,59100,53,44,710,1,6500,0.11,SALARIED
CUS100369,39,37200,64,43,850,1,15100,0.406,SALARIED
CUS100370,48,91200,19,104,720,2,18000,0.197,SALARIED
CUS100371,46,137600,38,15,781,0,51600,0.375,SALARIED
CUS100372,57,115900,26,19,850,0,36900,0.318,SALARIED
CUS100373,46,92000,56,70,735,2,10000,0.109,SALARIED
CUS100374,43,149200,44,78,703,3,26300,0.176,SALARIED
CUS100375,29,138300,54,148,777,4,9800,0.071,SALARIED
CUS100376,32,73200,51,52,741,1,14100,0.193,SALARIED
CUS100377,21,95000,28,83,808,0,14700,0.155,SALARIED
CUS100378,21,96900,15,94,780,0,33200,0.343,SALARIED
CUS100379,54,81700,46,50,791,1,14300,0.175,SALARIED
CUS100380,52,141600,48,101,688,0,25100,0.177,SALARIED
CUS100381,45,79400,46,94,788,1,10800,0.136,SALARIED
CUS100382,60,67900,85,12,670,4,11000,0.162,SALARIED
CUS100383,21,30000,61,53,771,2,1500,0.05,SALARIED
CUS100384,36,59300,45,63,771,1,14200,0.239,SALARIED
CUS100385,59,47000,41,80,610,2,4000,0.085,SALARIED
CUS100386,25,83500,77,30,799,1,13900,0.166,SALARIED
CUS100387,42,48400,49,32,729,0,2900,0.06,SALARIED
CUS100388,49,111800,33,44,703,1,29000,0.259,SALARIED
CUS100389,23,140000,61,28,730,1,28600,0.204,SALARIED
CUS100390,32,83800,25,96,658,0,27400,0.327,SALARIED
CUS100391,46,54600,15,37,826,1,7100,0.13,SALARIED
CUS100392,36,96700,49,65,778,2,10200,0.105,SALARIED
CUS100393,57,199300,35,17,850,3,57600,0.289,SALARIED
CUS100394,42,173300,26,40,725,3,25900,0.149,SALARIED
CUS100395,49,45100,21,58,716,2,1200,0.03,SALARIED
CUS100396,34,44400,21,154,789,2,13400,0.302,SALARIED
CUS100397,48,39600,54,35,795,1,8900,0.225,SALARIED
CUS100398,25,51000,16,127,806,0,5000,0.098,SALARIED
CUS100399,50,95200,58,132,796,2,5100,0.054,SALARIED
CUS100400,25,66200,37,72,835,2,16600,0.251,SALARIED
CUS100401,32,58300,22,107,780,4,5500,0.094,SALARIED
CUS100402,36,135700,92,21,767,0,6200,0.046,SALARIED
CUS100403,46,107900,30,41,824,0,29300,0.272,SALARIED
CUS100404,46,39500,37,115,673,1,1900,0.048,SALARIED
CUS100405,41,132200,74,54,780,3,9100,0.069,SALARIED
CUS100406,59,106700,28,71,691,2,16000,0.15,SALARIED
CUS100407,56,107800,54,47,753,1,11300,0.105,SALARIED
CUS100408,53,65800,101,58,761,1,26000,0.395,SALARIED
CUS100409,50,78100,66,69,674,1,22500,0.288,SALARIED
CUS100410,57,35000,7,76,734,0,11000,0.314,SALARIED
CUS100411,43,125600,79,120,746,5,7100,0.057,SALARIED
CUS100412,30,54200,21,65,748,1,22500,0.415,SALARIED
CUS100413,25,57400,82,22,779,2,3000,0.052,SALARIED
CUS100414,56,57100,44,52,760,0,2000,0.035,SALARIED
CUS100415,54,191100,46,119,749,3,27100,0.142,SALARIED
CUS100416,51,62900,72,97,736,1,13900,0.221,SALARIED
CUS100417,30,129900,42,53,718,2,47400,0.365,SALARIED
CUS100418,39,84100,22,47,752,1,35300,0.42,SALARIED
CUS100419,52,58500,26,49,671,1,6800,0.116,SALARIED
CUS100420,21,53900,18,31,716,1,16900,0.314,SALARIED
CUS100421,25,64100,42,77,735,4,21400,0.334,SALARIED
CUS100422,24,82200,26,129,650,1,8400,0.102,SALARIED
CUS100423,36,111400,32,46,775,1,29200,0.262,SALARIED
CUS100424,44,68800,50,38,722,4,16700,0.243,SALARIED
CUS100425,36,67600,78,70,729,0,900,0.03,SALARIED
CUS100426,22,57200,88,45,745,2,9400,0.164,SALARIED
CUS100427,48,49700,79,62,672,0,23200,0.467,SALARIED
CUS100428,52,47800,18,147,740,0,2400,0.05,SALARIED
CUS100429,47,132600,52,114,707,2,27700,0.209,SALARIED
CUS100430,40,67000,39,26,782,6,10900,0.163,SALARIED
CUS100431,44,69700,44,53,775,0,7200,0.103,SALARIED
CUS100432,32,63000,83,78,689,1,8000,0.127,SALARIED
CUS100433,55,73700,95,78,730,0,10300,0.14,SALARIED
