application_id,policy_version,policy_status,failed_rules
APP200059,PL_2026_V1,ELIGIBLE,
APP200060,PL_2026_V1,ELIGIBLE,
APP200061,PL_2026_V1,ELIGIBLE,
APP200062,PL_2026_V1,ELIGIBLE,
APP200063,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200064,PL_2026_V1,INELIGIBLE,BUREAU_SCORE|FOIR
APP200065,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200066,PL_2026_V1,ELIGIBLE,
APP200067,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200068,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200069,PL_2026_V1,ELIGIBLE,
APP200070,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200071,PL_2026_V1,ELIGIBLE,
APP200072,PL_2026_V1,ELIGIBLE,
APP200073,PL_2026_V1,ELIGIBLE,
APP200074,PL_2026_V1,ELIGIBLE,
APP200075,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200076,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200077,PL_2026_V1,INELIGIBLE,MIN_INCOME|BUREAU_SCORE
APP200078,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200079,PL_2026_V1,ELIGIBLE,
APP200080,PL_2026_V1,ELIGIBLE,
APP200081,PL_2026_V1,ELIGIBLE,
APP200082,PL_2026_V1,ELIGIBLE,
APP200083,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200084,PL_2026_V1,ELIGIBLE,
APP200085,PL_2026_V1,ELIGIBLE,
APP200086,PL_2026_V1,ELIGIBLE,
APP200087,PL_2026_V1,ELIGIBLE,
APP200088,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200089,PL_2026_V1,ELIGIBLE,
APP200090,PL_2026_V1,ELIGIBLE,
APP200091,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200092,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200093,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200094,PL_2026_V1,INELIGIBLE,MIN_INCOME|BUREAU_SCORE
APP200095,PL_2026_V1,ELIGIBLE,
APP200096,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200097,PL_2026_V1,ELIGIBLE,
APP200098,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200099,PL_2026_V1,ELIGIBLE,
APP200100,PL_2026_V1,ELIGIBLE,
APP200101,PL_2026_V1,ELIGIBLE,
APP200102,PL_2026_V1,ELIGIBLE,
APP200103,PL_2026_V1,ELIGIBLE,
APP200104,PL_2026_V1,ELIGIBLE,
APP200105,PL_2026_V1,ELIGIBLE,
APP200106,PL_2026_V1,ELIGIBLE,
APP200107,PL_2026_V1,ELIGIBLE,
APP200108,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200109,PL_2026_V1,ELIGIBLE,
APP200110,PL_2026_V1,ELIGIBLE,
APP200111,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200112,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200113,PL_2026_V1,ELIGIBLE,
APP200114,PL_2026_V1,ELIGIBLE,
APP200115,PL_2026_V1,ELIGIBLE,
APP200116,PL_2026_V1,ELIGIBLE,
APP200117,PL_2026_V1,ELIGIBLE,
APP200118,PL_2026_V1,ELIGIBLE,
APP200119,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200120,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200121,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200122,PL_2026_V1,ELIGIBLE,
APP200123,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200124,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200125,PL_2026_V1,ELIGIBLE,
APP200126,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200127,PL_2026_V1,INELIGIBLE,FOIR
APP200128,PL_2026_V1,ELIGIBLE,
APP200129,PL_2026_V1,ELIGIBLE,
APP200130,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200131,PL_2026_V1,ELIGIBLE,
APP200132,PL_2026_V1,ELIGIBLE,
APP200133,PL_2026_V1,ELIGIBLE,
APP200134,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200135,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200136,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200137,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200138,PL_2026_V1,ELIGIBLE,
APP200139,PL_2026_V1,ELIGIBLE,
APP200140,PL_2026_V1,ELIGIBLE,
APP200141,PL_2026_V1,ELIGIBLE,
APP200142,PL_2026_V1,ELIGIBLE,
APP200143,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200144,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200145,PL_2026_V1,ELIGIBLE,
APP200146,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200147,PL_2026_V1,ELIGIBLE,
APP200148,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200149,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200150,PL_2026_V1,ELIGIBLE,
APP200151,PL_2026_V1,ELIGIBLE,
APP200152,PL_2026_V1,ELIGIBLE,
APP200153,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200154,PL_2026_V1,ELIGIBLE,
APP200155,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200156,PL_2026_V1,ELIGIBLE,
APP200157,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200158,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200159,PL_2026_V1,ELIGIBLE,
APP200160,PL_2026_V1,ELIGIBLE,
APP200161,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200162,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200163,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200164,PL_2026_V1,ELIGIBLE,
APP200165,PL_2026_V1,ELIGIBLE,
APP200166,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200167,PL_2026_V1,ELIGIBLE,
APP200168,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200169,PL_2026_V1,INELIGIBLE,FOIR
APP200170,PL_2026_V1,ELIGIBLE,
APP200171,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200172,PL_2026_V1,ELIGIBLE,
APP200173,PL_2026_V1,ELIGIBLE,
APP200174,PL_2026_V1,ELIGIBLE,
APP200175,PL_2026_V1,ELIGIBLE,
APP200176,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200177,PL_2026_V1,ELIGIBLE,
APP200178,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200179,PL_2026_V1,ELIGIBLE,
APP200180,PL_2026_V1,ELIGIBLE,
APP200181,PL_2026_V1,ELIGIBLE,
APP200182,PL_2026_V1,ELIGIBLE,
APP200183,PL_2026_V1,ELIGIBLE,
APP200184,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200185,PL_2026_V1,ELIGIBLE,
APP200186,PL_2026_V1,ELIGIBLE,
APP200187,PL_2026_V1,ELIGIBLE,
APP200188,PL_2026_V1,ELIGIBLE,
APP200189,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200190,PL_2026_V1,ELIGIBLE,
APP200191,PL_2026_V1,ELIGIBLE,
APP200192,PL_2026_V1,ELIGIBLE,
APP200193,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200194,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200195,PL_2026_V1,ELIGIBLE,
APP200196,PL_2026_V1,ELIGIBLE,
APP200197,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200198,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200199,PL_2026_V1,ELIGIBLE,
APP200200,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200201,PL_2026_V1,ELIGIBLE,
APP200202,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200203,PL_2026_V1,ELIGIBLE,
APP200204,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200205,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200206,PL_2026_V1,ELIGIBLE,
APP200207,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200208,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200209,PL_2026_V1,ELIGIBLE,
APP200210,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200211,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200212,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200213,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200214,PL_2026_V1,ELIGIBLE,
APP200215,PL_2026_V1,ELIGIBLE,
APP200216,PL_2026_V1,ELIGIBLE,
APP200217,PL_2026_V1,ELIGIBLE,
APP200218,PL_2026_V1,INELIGIBLE,MIN_INCOME|BUREAU_SCORE
APP200219,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200220,PL_2026_V1,ELIGIBLE,
APP200221,PL_2026_V1,ELIGIBLE,
APP200222,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200223,PL_2026_V1,ELIGIBLE,
APP200224,PL_2026_V1,ELIGIBLE,
APP200225,PL_2026_V1,ELIGIBLE,
APP200226,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200227,PL_2026_V1,ELIGIBLE,
APP200228,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200229,PL_2026_V1,ELIGIBLE,
APP200230,PL_2026_V1,ELIGIBLE,
APP200231,PL_2026_V1,ELIGIBLE,
APP200232,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200233,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200234,PL_2026_V1,ELIGIBLE,
APP200235,PL_2026_V1,ELIGIBLE,
APP200236,PL_2026_V1,ELIGIBLE,
APP200237,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200238,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200239,PL_2026_V1,ELIGIBLE,
APP200240,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200241,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200242,PL_2026_V1,ELIGIBLE,
APP200243,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200244,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200245,PL_2026_V1,ELIGIBLE,
APP200246,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200247,PL_2026_V1,ELIGIBLE,
APP200248,PL_2026_V1,ELIGIBLE,
APP200249,PL_2026_V1,ELIGIBLE,
APP200250,PL_2026_V1,INELIGIBLE,MIN_INCOME|BUREAU_SCORE
APP200251,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200252,PL_2026_V1,ELIGIBLE,
APP200253,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200254,PL_2026_V1,ELIGIBLE,
APP200255,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200256,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200257,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200258,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200259,PL_2026_V1,ELIGIBLE,
APP200260,PL_2026_V1,ELIGIBLE,
APP200261,PL_2026_V1,ELIGIBLE,
APP200262,PL_2026_V1,ELIGIBLE,
APP200263,PL_2026_V1,ELIGIBLE,
APP200264,PL_2026_V1,ELIGIBLE,
APP200265,PL_2026_V1,ELIGIBLE,
APP200266,PL_2026_V1,ELIGIBLE,
APP200267,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200268,PL_2026_V1,ELIGIBLE,
APP200269,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200270,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200271,PL_2026_V1,ELIGIBLE,
APP200272,PL_2026_V1,ELIGIBLE,
APP200273,PL_2026_V1,ELIGIBLE,
APP200274,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200275,PL_2026_V1,ELIGIBLE,
APP200276,PL_2026_V1,ELIGIBLE,
APP200277,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200278,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200279,PL_2026_V1,ELIGIBLE,
APP200280,PL_2026_V1,ELIGIBLE,
APP200281,PL_2026_V1,ELIGIBLE,
APP200282,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200283,PL_2026_V1,ELIGIBLE,
APP200284,PL_2026_V1,INELIGIBLE,MIN_INCOME|BUREAU_SCORE
APP200285,PL_2026_V1,ELIGIBLE,
APP200286,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200287,PL_2026_V1,ELIGIBLE,
APP200288,PL_2026_V1,ELIGIBLE,
APP200289,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200290,PL_2026_V1,ELIGIBLE,
APP200291,PL_2026_V1,ELIGIBLE,
APP200292,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200293,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200294,PL_2026_V1,INELIGIBLE,MIN_INCOME|FOIR
APP200295,PL_2026_V1,ELIGIBLE,
APP200296,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200297,PL_2026_V1,ELIGIBLE,
APP200298,PL_2026_V1,INELIGIBLE,MIN_INCOME|BUREAU_SCORE
APP200299,PL_2026_V1,ELIGIBLE,
APP200300,PL_2026_V1,ELIGIBLE,
APP200301,PL_2026_V1,ELIGIBLE,
APP200302,PL_2026_V1,ELIGIBLE,
APP200303,PL_2026_V1,ELIGIBLE,
APP200304,PL_2026_V1,ELIGIBLE,
APP200305,PL_2026_V1,ELIGIBLE,
APP200306,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200307,PL_2026_V1,ELIGIBLE,
APP200308,PL_2026_V1,ELIGIBLE,
APP200309,PL_2026_V1,ELIGIBLE,
APP200310,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200311,PL_2026_V1,ELIGIBLE,
APP200312,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200313,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200314,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200315,PL_2026_V1,ELIGIBLE,
APP200316,PL_2026_V1,ELIGIBLE,
APP200317,PL_2026_V1,ELIGIBLE,
APP200318,PL_2026_V1,ELIGIBLE,
APP200319,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200320,PL_2026_V1,INELIGIBLE,MIN_INCOME|BUREAU_SCORE
APP200321,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200322,PL_2026_V1,ELIGIBLE,
APP200323,PL_2026_V1,ELIGIBLE,
APP200324,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200325,PL_2026_V1,ELIGIBLE,
APP200326,PL_2026_V1,ELIGIBLE,
APP200327,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200328,PL_2026_V1,ELIGIBLE,
APP200329,PL_2026_V1,ELIGIBLE,
APP200330,PL_2026_V1,ELIGIBLE,
APP200331,PL_2026_V1,INELIGIBLE,MIN_INCOME|BUREAU_SCORE
APP200332,PL_2026_V1,ELIGIBLE,
APP200333,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200334,PL_2026_V1,ELIGIBLE,
APP200335,PL_2026_V1,ELIGIBLE,
APP200336,PL_2026_V1,ELIGIBLE,
APP200337,PL_2026_V1,ELIGIBLE,
APP200338,PL_2026_V1,ELIGIBLE,
APP200339,PL_2026_V1,INELIGIBLE,FOIR
APP200340,PL_2026_V1,ELIGIBLE,
APP200341,PL_2026_V1,ELIGIBLE,
APP200342,PL_2026_V1,ELIGIBLE,
APP200343,PL_2026_V1,ELIGIBLE,
APP200344,PL_2026_V1,ELIGIBLE,
APP200345,PL_2026_V1,ELIGIBLE,
APP200346,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200347,PL_2026_V1,ELIGIBLE,
APP200348,PL_2026_V1,ELIGIBLE,
APP200349,PL_2026_V1,ELIGIBLE,
APP200350,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200351,PL_2026_V1,ELIGIBLE,
APP200352,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200353,PL_2026_V1,ELIGIBLE,
APP200354,PL_2026_V1,ELIGIBLE,
APP200355,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200356,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200357,PL_2026_V1,ELIGIBLE,
APP200358,PL_2026_V1,ELIGIBLE,
APP200359,PL_2026_V1,INELIGIBLE,MIN_INCOME|BUREAU_SCORE
APP200360,PL_2026_V1,ELIGIBLE,
APP200361,PL_2026_V1,ELIGIBLE,
APP200362,PL_2026_V1,ELIGIBLE,
APP200363,PL_2026_V1,ELIGIBLE,
APP200364,PL_2026_V1,ELIGIBLE,
APP200365,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200366,PL_2026_V1,ELIGIBLE,
APP200367,PL_2026_V1,ELIGIBLE,
APP200368,PL_2026_V1,ELIGIBLE,
APP200369,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200370,PL_2026_V1,ELIGIBLE,
APP200371,PL_2026_V1,ELIGIBLE,
APP200372,PL_2026_V1,ELIGIBLE,
APP200373,PL_2026_V1,ELIGIBLE,
APP200374,PL_2026_V1,ELIGIBLE,
APP200375,PL_2026_V1,ELIGIBLE,
APP200376,PL_2026_V1,ELIGIBLE,
APP200377,PL_2026_V1,ELIGIBLE,
APP200378,PL_2026_V1,ELIGIBLE,
APP200379,PL_2026_V1,ELIGIBLE,
APP200380,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200381,PL_2026_V1,ELIGIBLE,
APP200382,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200383,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200384,PL_2026_V1,ELIGIBLE,
APP200385,PL_2026_V1,INELIGIBLE,MIN_INCOME|BUREAU_SCORE
APP200386,PL_2026_V1,ELIGIBLE,
APP200387,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200388,PL_2026_V1,ELIGIBLE,
APP200389,PL_2026_V1,ELIGIBLE,
APP200390,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200391,PL_2026_V1,ELIGIBLE,
APP200392,PL_2026_V1,ELIGIBLE,
APP200393,PL_2026_V1,ELIGIBLE,
APP200394,PL_2026_V1,ELIGIBLE,
APP200395,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200396,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200397,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200398,PL_2026_V1,ELIGIBLE,
APP200399,PL_2026_V1,ELIGIBLE,
APP200400,PL_2026_V1,ELIGIBLE,
APP200401,PL_2026_V1,ELIGIBLE,
APP200402,PL_2026_V1,ELIGIBLE,
APP200403,PL_2026_V1,ELIGIBLE,
APP200404,PL_2026_V1,INELIGIBLE,MIN_INCOME|BUREAU_SCORE
APP200405,PL_2026_V1,ELIGIBLE,
APP200406,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200407,PL_2026_V1,ELIGIBLE,
APP200408,PL_2026_V1,ELIGIBLE,
APP200409,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200410,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200411,PL_2026_V1,ELIGIBLE,
APP200412,PL_2026_V1,ELIGIBLE,
APP200413,PL_2026_V1,ELIGIBLE,
APP200414,PL_2026_V1,ELIGIBLE,
APP200415,PL_2026_V1,ELIGIBLE,
APP200416,PL_2026_V1,ELIGIBLE,
APP200417,PL_2026_V1,ELIGIBLE,
APP200418,PL_2026_V1,ELIGIBLE,
APP200419,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200420,PL_2026_V1,ELIGIBLE,
APP200421,PL_2026_V1,ELIGIBLE,
APP200422,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200423,PL_2026_V1,ELIGIBLE,
APP200424,PL_2026_V1,ELIGIBLE,
APP200425,PL_2026_V1,ELIGIBLE,
APP200426,PL_2026_V1,ELIGIBLE,
APP200427,PL_2026_V1,INELIGIBLE,MIN_INCOME|BUREAU_SCORE
APP200428,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200429,PL_2026_V1,ELIGIBLE,
APP200430,PL_2026_V1,ELIGIBLE,
APP200431,PL_2026_V1,ELIGIBLE,
APP200432,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200433,PL_2026_V1,ELIGIBLE,
APP200434,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200435,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200436,PL_2026_V1,INELIGIBLE,FOIR
APP200437,PL_2026_V1,ELIGIBLE,
APP200438,PL_2026_V1,ELIGIBLE,
APP200439,PL_2026_V1,ELIGIBLE,
APP200440,PL_2026_V1,ELIGIBLE,
APP200441,PL_2026_V1,ELIGIBLE,
APP200442,PL_2026_V1,INELIGIBLE,MIN_INCOME|BUREAU_SCORE
APP200443,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200444,PL_2026_V1,ELIGIBLE,
APP200445,PL_2026_V1,ELIGIBLE,
APP200446,PL_2026_V1,ELIGIBLE,
APP200447,PL_2026_V1,ELIGIBLE,
APP200448,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200449,PL_2026_V1,ELIGIBLE,
APP200450,PL_2026_V1,ELIGIBLE,
APP200451,PL_2026_V1,ELIGIBLE,
APP200452,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200453,PL_2026_V1,ELIGIBLE,
APP200454,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200455,PL_2026_V1,ELIGIBLE,
APP200456,PL_2026_V1,ELIGIBLE,
APP200457,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200458,PL_2026_V1,INELIGIBLE,BUREAU_SCORE|FOIR
APP200459,PL_2026_V1,ELIGIBLE,
APP200460,PL_2026_V1,ELIGIBLE,
APP200461,PL_2026_V1,ELIGIBLE,
APP200462,PL_2026_V1,ELIGIBLE,
APP200463,PL_2026_V1,ELIGIBLE,
APP200464,PL_2026_V1,ELIGIBLE,
APP200465,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200466,PL_2026_V1,ELIGIBLE,
APP200467,PL_2026_V1,ELIGIBLE,
APP200468,PL_2026_V1,ELIGIBLE,
APP200469,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200470,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200471,PL_2026_V1,ELIGIBLE,
APP200472,PL_2026_V1,ELIGIBLE,
APP200473,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200474,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200475,PL_2026_V1,ELIGIBLE,
APP200476,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200477,PL_2026_V1,ELIGIBLE,
APP200478,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200479,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200480,PL_2026_V1,ELIGIBLE,
APP200481,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200482,PL_2026_V1,ELIGIBLE,
APP200483,PL_2026_V1,ELIGIBLE,
APP200484,PL_2026_V1,ELIGIBLE,
APP200485,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200486,PL_2026_V1,INELIGIBLE,MIN_INCOME
APP200487,PL_2026_V1,ELIGIBLE,
APP200488,PL_2026_V1,ELIGIBLE,
APP200489,PL_2026_V1,INELIGIBLE,BUREAU_SCORE
APP200490,PL_2026_V1,ELIGIBLE,
APP200491,PL_2026_V1,ELIGIBLE,
APP200492,PL_2026_V1,ELIGIBLE,
APP200493,PL_2026_V1,ELIGIBLE,
APP200494,PL_2026_V1,ELIGIBLE,
APP200495,PL_2026_V1,ELIGIBLE,
APP200496,PL_2026_V1,ELIGIBLE,
APP200497,PL_2026_V1,ELIGIBLE,
APP200498,PL_2026_V1,ELIGIBLE,
APP200499,PL_2026_V1,ELIGIBLE,
APP200500,PL_2026_V1,ELIGIBLE,
