review_id,application_id,review_reason,agent_recommendation,underwriter_decision,override,decision_reason,status
REV303864,APP203864,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV303919,APP203919,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV304042,APP204042,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV304069,APP204069,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV304073,APP204073,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV304112,APP204112,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV304135,APP204135,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV304150,APP204150,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV304201,APP204201,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV304206,APP204206,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV304265,APP204265,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV304267,APP204267,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV304310,APP204310,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV304330,APP204330,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV304442,APP204442,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV304556,APP204556,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV304571,APP204571,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV304582,APP204582,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV304657,APP204657,MEDIUM_FRAUD_RISK,REFER,,,,PENDING
REV304709,APP204709,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV304741,APP204741,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV304793,APP204793,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV304799,APP204799,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV304871,APP204871,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV305005,APP205005,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV305152,APP205152,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV305159,APP205159,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV305234,APP205234,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV305282,APP205282,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV305315,APP205315,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV305358,APP205358,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV305477,APP205477,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV305526,APP205526,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV305574,APP205574,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV305628,APP205628,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV305763,APP205763,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV305834,APP205834,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV305853,APP205853,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV305863,APP205863,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV305891,APP205891,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV305899,APP205899,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV305958,APP205958,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV306091,APP206091,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV306219,APP206219,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV306296,APP206296,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV306299,APP206299,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV306314,APP206314,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV306349,APP206349,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV306465,APP206465,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV306527,APP206527,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV306725,APP206725,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV306781,APP206781,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV306821,APP206821,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV306827,APP206827,MEDIUM_FRAUD_RISK,REFER,,,,PENDING
REV306912,APP206912,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV306921,APP206921,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV306945,APP206945,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV307012,APP207012,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV307029,APP207029,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV307093,APP207093,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV307217,APP207217,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV307302,APP207302,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV307335,APP207335,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV307362,APP207362,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV307434,APP207434,MEDIUM_FRAUD_RISK,REFER,,,,PENDING
REV307514,APP207514,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV307619,APP207619,MEDIUM_FRAUD_RISK,REFER,,,,PENDING
REV307650,APP207650,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV307968,APP207968,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV307996,APP207996,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV308008,APP208008,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV308015,APP208015,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV308016,APP208016,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV308088,APP208088,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV308119,APP208119,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV308290,APP208290,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV308372,APP208372,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV308400,APP208400,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV308436,APP208436,MEDIUM_FRAUD_RISK,REFER,,,,PENDING
REV308566,APP208566,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV308596,APP208596,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV308660,APP208660,MEDIUM_FRAUD_RISK,REFER,,,,PENDING
REV308728,APP208728,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV308739,APP208739,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV308794,APP208794,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV308815,APP208815,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV308862,APP208862,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV308872,APP208872,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV308888,APP208888,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV308902,APP208902,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV308970,APP208970,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV309055,APP209055,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV309169,APP209169,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV309177,APP209177,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV309192,APP209192,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV309364,APP209364,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV309384,APP209384,MEDIUM_FRAUD_RISK,REFER,,,,PENDING
REV309521,APP209521,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV309668,APP209668,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV309788,APP209788,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
REV309859,APP209859,LOW_DOCUMENT_CONFIDENCE,REFER,,,,PENDING
